"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"OCC THER","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","9","3.778","88.9",".",".",".","11.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","9","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","28","3.786","85.7",".","7.1",".","7.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","135","3.728","58.5","24.4","5.2","0.7",".","",".","",".","",".","",".","8.9","",".","",".","",".",".",".","."
"","Dept. Total","165","3.734","63.6","20.0","5.5","0.6","1.2","",".","",".","",".","",".","7.3","",".","",".","",".",".",".","."
