"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","264","3.313","28.8","33.7","22.0","9.8","3.4","0.8","1.5",".",".",".",".",".",".",".",".","."
"","300
002","262","3.296","19.8","41.6","23.7","10.7","3.4",".","0.8",".",".",".",".",".",".",".",".","."
"","300
003","236","3.182","17.4","36.9","25.8","12.3","4.7","2.1","0.8",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","762","3.266","22.2","37.4","23.8","10.9","3.8","0.9","1.0",".",".",".",".",".",".",".",".","."
"","305
001","54","3.380","27.8","31.5","29.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","54","3.454","27.8","40.7","25.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","54","3.481","37.0","33.3","20.4","7.4","1.9",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","162","3.438","30.9","35.2","25.3","8.0","0.6",".",".",".",".",".",".",".",".",".",".","."
"","310
001","44","3.489","25.0","52.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","43","3.384","20.9","41.9","30.2","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","45","3.511","35.6","35.6","24.4","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"","310
004","45","3.444","20.0","53.3","22.2","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","177","3.458","25.4","45.8","23.7","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Brand Management & Strategy","335
001","57","3.895","80.7","17.5","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001","39","3.897","97.4",".",".",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"","355
002","48","3.968","91.7","6.3",".",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"","355
003","27","3.648","29.6","70.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
004","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","156","3.903","84.6","14.1",".",".",".",".","0.6","0.6",".",".",".",".",".",".",".","."
"Contemporary Topics","365
002","29","3.362","27.6","34.5","24.1","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"Sports Marketing","410
001","42","3.667","50.0","38.1","7.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","31","3.565","38.7","45.2","9.7","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"","421
001","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","30","3.933","96.7",".",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","54","3.944","96.3",".","1.9",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"","422
001","21","3.714","57.1","33.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","26","3.788","73.1","11.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","47","3.755","66.0","21.3","10.6","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
001","21","3.524","28.6","47.6","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
003","43","3.884","86.0","7.0","4.7","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","425
004","31","3.935","93.5",".","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","74","3.905","89.2","4.1","5.4","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Pricing","430
001","8","3.313","50.0","37.5",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","460
002","47","3.723","59.6","27.7","10.6","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","40","3.800","70.0","25.0","2.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","87","3.759","64.4","26.4","6.9","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"","640
001","6","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Retailing","Course Total","14","3.321","14.3","42.9","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","700
030","39","3.603","35.9","51.3","10.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","49","3.694","42.9","53.1","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
