"ASIAN LANGUAGES AND CULTU Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"185
ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Gateway to Asia Special Topics","100","001","","58","3.851","86.2","1.7","6.9",".","3.4",".",".",".",".",".",".",".","1.7",".",".","."
"Intro-E Asian History:China","103","001","","32","3.547","56.3","28.1","3.1","6.3","3.1",".","3.1",".",".",".",".",".",".",".",".","."
"Art/Sci of Human Flourishing","120","001","","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Asia Enchanted","236","001","","85","3.376","49.4","16.5","10.6","16.5","4.7",".","2.4",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","","18","3.912","83.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"Intro East Asian Civilizations","255","001","","19","3.553","57.9","10.5","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Religion in South Asia","274","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","001","","21","3.762","81.0",".","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","14","3.536","78.6","7.1",".",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","300","003","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","004","","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Asian Studies","","Course Total","","93","3.839","87.1","4.3","5.4",".","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"Social Studies Topics in EAS","301","001","","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"A Survey of Tibetan Buddhism","307","001","","27","3.926","88.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Vietnam Wars","319","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Korean War to the 21st Century","335","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Peoples Replc China 1949 on","342","001","","10","3.300","60.0","20.0",".",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Early Modern Japanese Lit","354","001","","6","3.300","16.7","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".","."
"Topics-Chinese Literature","371","001","","91","3.868","83.5","12.1","2.2","1.1",".","1.1",".",".",".",".",".",".",".",".",".","."
"Manga","376","001","","22","3.091","40.9","9.1","27.3","9.1","4.5",".","9.1",".",".",".",".",".",".",".",".","."
"Cities of Asia","379","001","","6","2.917","16.7",".","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Japan, US-Crisis in Asia","456","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Meditation-Buddhism & Hinduism","473","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings in Early Mod Jpn Lit","533","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","630","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar: Cultures of Asia","","Course Total","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Chinese Language","631","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Studies in Chinese Fiction","672","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","3.925","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
