"L&S","","","","","","","","","","","","","","","","","","","",""
"BIOLOGY CORE CURRICULUM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Becoming a Scientist","181
001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolution,Ecology,&Genetics","381
001","","81","3.582","56.8","9.9","27.2","2.5",".",".","1.2",".",".",".",".",".","2.5",".",".","."
"","382
001","","20","3.450","50.0",".","45.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","382
002","","20","3.350","35.0","5.0","55.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","382
003","","17","3.500","35.3","29.4","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","382
005","","18","3.500","50.0","11.1","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","","75","3.447","42.7","10.7","42.7","1.3","2.7",".",".",".",".",".",".",".",".",".",".","."
"Peer Mentoring","401
001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Principles of Physiology","485
001","","81","3.525","59.3","7.4","24.7","1.2","4.9","2.5",".",".",".",".",".",".",".",".",".","."
"","486
001","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","486
002","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","486
003","","17","3.765","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Physiology Lab","Course Total","","45","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"206
BIOCORE","Dept. Total","","307","3.567","53.7","10.4","26.4","1.3","2.0","0.7","0.3",".",".","4.6",".",".","0.7",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","","57","3.380","43.9","5.3","43.9","1.8","1.8",".","1.8",".",".",".",".",".","1.8",".",".","."
"Junior","","","136","3.580","53.7","11.8","27.9","1.5","1.5","0.7",".",".",".","2.2",".",".","0.7",".",".","."
"Senior","","","109","3.645","58.7","11.0","15.6","0.9","2.8","0.9",".",".",".","10.1",".",".",".",".",".","."
"Undergraduates","","","307","3.567","53.7","10.4","26.4","1.3","2.0","0.7","0.3",".",".","4.6",".",".","0.7",".",".","."
"","Dept. Total","","307","3.567","53.7","10.4","26.4","1.3","2.0","0.7","0.3",".",".","4.6",".",".","0.7",".",".","."
