"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"","101
001","","13","3.192","46.2","23.1","7.7",".","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"","101
002","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Russian","Course Total","","48","3.646","64.6","22.9","4.2","2.1","4.2",".","2.1",".",".",".",".",".",".",".",".","."
"1st Semester Polish","111
001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Czech","115
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","203
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","203
002","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Russian","Course Total","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
002","","13","3.583","69.2","15.4",".",".",".",".","7.7",".",".",".",".",".","7.7",".",".","."
"","245
003","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
005","","7","2.929","14.3","42.9","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Topics-Slavic Literatures","Course Total","","41","3.663","73.2","12.2","7.3",".",".",".","4.9",".",".",".",".",".","2.4",".",".","."
"","275
001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Russian I","Course Total","","22","3.750","63.6","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Polish I","277
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Polish II","278
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Slavic Culture in Context","285
001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"5th Sem Intensive Polish","305
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Lang & Culture I","315
001","","15","3.400","33.3","33.3","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Russian I","321
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Intensive Czech","351
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Chekhov","420
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Russian Culture","433
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Smr:Russian Lit&Cultr","560
001","","8","3.917","62.5","12.5",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.889","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Russian Romanticism","703
001","","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Topics in Slavic Literature","755
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Methods-Teachng Slavic Lang","804
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of Russian","820
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Slavic Lit & Culture","900
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 323 of 450",""
