"","990
094","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
095","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
098","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research","Course Total","68","",".",".",".",".","",".","",".","",".","48.5","1.5",".","",".","45.6","",".",".","4.4","."
"621
MED PHYS","Dept. Total","273","3.802","57.1","11.7","4.4","1.1","",".","",".","",".","12.1","0.4",".","",".","11.4","",".",".","1.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","8","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Senior","","17","3.540","52.9","17.6","17.6","11.8","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Undergraduates","","26","3.676","69.2","11.5","11.5","7.7","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Special","","4","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","241","3.819","55.2","12.0","3.7","0.4","",".","",".","",".","13.3","0.4",".","",".","12.9","",".",".","2.1","."
"Prof Yr 4","","2","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"","Dept. Total","273","3.802","57.1","11.7","4.4","1.1","",".","",".","",".","12.1","0.4",".","",".","11.4","",".",".","1.8","."
