"","990
003","","1","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
004","","1","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
022","","1","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","Dept. Total","","60","3.858","65.0","21.7","1.7","",".","",".","",".","",".","5.0","",".",".","",".","3.3","3.3",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","14","3.750","50.0","50.0",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","","15","3.933","86.7","13.3",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","","11","3.900","72.7","18.2",".","",".","",".","",".","",".",".","",".",".","",".",".","9.1",".",".","."
"Senior","","","13","3.833","69.2","15.4","7.7","",".","",".","",".","",".",".","",".",".","",".",".","7.7",".",".","."
"Undergraduates","","","53","3.853","69.8","24.5","1.9","",".","",".","",".","",".",".","",".",".","",".",".","3.8",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","","6","4.000","16.7",".",".","",".","",".","",".","",".","50.0","",".",".","",".","33.3",".",".",".","."
"","Dept. Total","","60","3.858","65.0","21.7","1.7","",".","",".","",".","",".","5.0","",".",".","",".","3.3","3.3",".",".","."
