"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","373","3.835","71.3","21.2","3.5","1.3",".",".",".","1.6",".",".",".",".","0.5","0.5",".","."
"Politics Around the World","120","001","141","3.299","39.0","22.0","12.1","12.1","5.0","4.3","0.7",".",".",".",".",".","0.7",".","3.5","0.7"
"Intro-Internatl Relations","140","001","265","3.201","18.1","38.5","23.0","11.7","4.2","1.5","1.5",".",".",".",".",".",".",".","1.5","."
"Intro to Political Theory","160","001","183","3.365","29.5","37.2","25.1","0.5","4.4","1.1","1.6","0.5",".",".",".",".",".",".",".","."
"Research Methods in Poli Sci","170","001","150","3.446","40.0","34.7","11.3","7.3","3.3","2.0","0.7",".",".",".",".",".","0.7",".",".","."
"Politics Around World-Honors","182","001","25","3.620","36.0","52.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law, Politics and Society","217","001","20","3.225","30.0","25.0","30.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","22","3.905","81.8","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","4.5","."
"Intro East Asian Civilizations","255","001","14","3.607","50.0","35.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Idea, Past & Present","259","001","13","3.569","61.5","7.7","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"US & Ltn Am:Col Era to Present","268","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Understndng Politcl Numbers","270","001","43","3.233","27.9","32.6","23.3","4.7","7.0","2.3","2.3",".",".",".",".",".",".",".",".","."
"Intro to Public Policy","272","001","68","3.746","57.4","32.4","8.8",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"Political Choice and Strategy","274","001","58","3.393","25.9","25.9","43.1","1.7",".",".",".","3.4",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","30","3.643","33.3","53.3","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Politcal Economy-Race in US","304","001","21","3.750","71.4",".","23.8",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"Elections & Voting Behavior","305","001","123","3.605","29.3","42.3","7.3","2.4",".",".",".","18.7",".",".",".",".",".",".",".","."
"United States Congress","311","001","54","3.208","24.1","20.4","24.1","13.0","5.6","1.9",".","7.4",".",".",".",".","1.9",".",".","1.9"
"Legislative Internship","315","002","39","4.000","97.4",".",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Political Econ of Development","330","001","100","3.130","20.0","24.0","33.0","12.0","10.0",".","1.0",".",".",".",".",".",".",".",".","."
"Eur Union:Politics&Pol Econ","340","001","51","3.207","19.6","35.3","15.7","13.7","2.0","2.0","2.0",".",".",".",".",".",".",".","9.8","."
"Conflict Resolution","345","001","72","3.521","48.6","27.8","12.5","5.6","1.4","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"Terrorism","347","001","219","3.388","45.2","24.2","15.1","6.4","5.0","0.5","3.2",".",".",".",".",".","0.5",".",".","."
"American Foreign Policy","359","001","182","3.625","56.0","26.4","10.4","3.8","0.5",".","1.6","1.1",".",".",".",".",".",".",".","."
"Machiavelli and His World","365","001","82","3.638","74.4","8.5","4.9","3.7","1.2","1.2","3.7",".",".",".",".",".",".","1.2",".","1.2"
"","400","001","42","3.631","69.0","9.5","11.9","2.4","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"","400","002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","82","3.726","84.1","4.9","6.1","1.2","2.4","1.2",".",".",".",".",".",".",".",".",".","."
"","401","001","55","3.653","47.3","29.1","7.3","3.6","1.8",".",".","10.9",".",".",".",".",".",".",".","."
"","401","002","16","3.867","75.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"","401","003","30","3.571","46.7","23.3","16.7","3.3","3.3",".",".","6.7",".",".",".",".",".",".",".","."
"","401","004","16","3.563","68.8",".","6.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","117","3.648","53.8","21.4","9.4","6.0","1.7",".",".","6.8",".",".",".",".",".","0.9",".","."
"The American Presidency","408","001","66","3.583","43.9","9.1","15.2",".","3.0","1.5",".","25.8",".",".",".",".",".","1.5",".","."
"The American Constitution I","411","001","107","3.495","55.1","12.1","13.1","0.9","1.9","1.9","3.7",".",".",".",".",".","0.9",".","9.3","0.9"
"Supreme Ct as Pol Instit","414","001","77","3.603","61.0","19.5","5.2","1.3","3.9","2.6","1.3","5.2",".",".",".",".",".",".",".","."
"Gend. & Poli. in Comp Persp.","429","001","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Philos","460","001","19","3.294","52.6","21.1",".",".","5.3",".","10.5",".",".",".",".",".","10.5",".",".","."
"Philos, Poli, & Econ Seminar","461","001","13","3.625","61.5","15.4",".","7.7","7.7",".",".",".",".",".",".",".",".","7.7",".","."
