"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","210","3.607","70.0","15.2","4.3","1.4","1.0","0.5","5.2","1.9",".","",".",".","",".","","",".",".",".","0.5"
"Intro-Mus Cult of the World","103
001","50","3.360","58.0","12.0","16.0","4.0","2.0",".","8.0",".",".","",".",".","",".","","",".",".",".","."
"Folklore Cent East North Eur","200
001","68","3.662","64.7","19.1","5.9","1.5","1.5",".","2.9",".",".","",".",".","",".","","",".","1.5","2.9","."
"","210
001","4","***","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","210
002","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".","",".",".","",".","","",".",".",".","."
"","210
003","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".","",".",".","",".","","",".",".",".","."
"","210
004","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".","",".",".","",".","","",".",".",".","."
"","210
005","8","3.750","50.0","50.0",".",".",".",".",".",".",".","",".",".","",".","","",".",".",".","."
"The African Storyteller","Course Total","42","3.643","42.9","45.2","9.5","2.4",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","14","3.679","57.1","28.6","7.1","7.1",".",".",".",".",".","",".",".","",".","","",".",".",".","."
"Dir Stdy-Folklore Undergrad","399
002","1","***","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Local Culture-Upper Midwest","540
001","10","3.667","30.0","20.0","10.0",".",".",".",".","40.0",".","",".",".","",".","","",".",".",".","."
"380
FOLKLORE","Dept. Total","395","3.592","63.3","19.2","6.8","2.0","1.0","0.3","4.3","2.0","",".",".","",".","",".","",".","0.3","0.5","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","89","3.590","64.0","22.5","5.6","1.1","2.2",".","4.5",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","107","3.623","65.4","15.9","9.3","4.7","0.9",".","2.8",".","",".",".","",".","",".","",".",".",".","0.9"
"Junior","","99","3.591","72.7","13.1","7.1",".",".","1.0","6.1",".","",".",".","",".","",".","",".",".",".","."
"Senior","","89","3.555","56.2","29.2","5.6","2.2","1.1",".","4.5",".","",".",".","",".","",".","",".","1.1",".","."
"Undergraduates","","384","3.591","64.8","19.8","7.0","2.1","1.0","0.3","4.4",".","",".",".","",".","",".","",".","0.3",".","0.3"
"Special","","10","",".",".",".",".",".",".",".","80.0","",".",".","",".","",".","",".",".","20.0","."
"Graduate","","1","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","395","3.592","63.3","19.2","6.8","2.0","1.0","0.3","4.3","2.0","",".",".","",".","",".","",".","0.3","0.5","0.3"
