"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","20","3.100","30.0","20.0","25.0","10.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"","170
002","27","3.148","25.9","33.3","14.8","11.1","11.1",".","3.7",".",".",".",".",".",".",".",".","."
"","170
003","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","56","3.223","32.1","28.6","17.9","8.9","8.9",".","3.6",".",".",".",".",".",".",".",".","."
"Intro to Mech Eng","201
001","103","3.743","73.8","12.6","6.8","1.9","4.9",".",".",".",".",".",".",".",".",".",".","."
"Geometric Modeling","231
001","136","3.202","33.8","23.5","18.4","11.0","7.4","5.1","0.7",".",".",".",".",".",".",".",".","."
"Dynamics","240
001","97","3.063","18.6","28.9","27.8","10.3","7.2","4.1","2.1",".","1.0",".",".",".",".",".",".","."
"Eng. Problem Solving EES","273
001","15","3.750","73.3","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","6.7",".","."
"Undergrad Mech Engr Project","291
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"","306
001","48","3.229","22.9","27.1","31.3","10.4","8.3",".",".",".",".",".",".",".",".",".",".","."
"","306
002","55","2.927","10.9","18.2","45.5","10.9","9.1","3.6","1.8",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","103","3.068","16.5","22.3","38.8","10.7","8.7","1.9","1.0",".",".",".",".",".",".",".",".","."
"","307
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
004","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
008","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
010","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","74","3.784","68.9","18.9","12.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","50","3.790","70.0","20.0","8.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","53","3.925","88.7","7.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","103","3.859","79.6","13.6","5.8","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","314
001","54","3.611","44.4","37.0","16.7",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"","314
002","48","3.656","47.9","37.5","12.5","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","102","3.632","46.1","37.3","14.7","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Computer-Aided Engineering","331
001","150","3.507","40.0","28.7","27.3","3.3",".",".","0.7",".",".",".",".",".",".",".",".","."
"","340
001","70","3.350","30.0","30.0","22.9","14.3","2.9",".",".",".",".",".",".",".",".",".",".","."
"","340
002","63","2.992","15.9","22.2","28.6","14.3","14.3","3.2",".","1.6",".",".",".",".",".",".",".","."
"Dynamic Systems","Course Total","133","3.182","23.3","26.3","25.6","14.3","8.3","1.5",".","0.8",".",".",".",".",".",".",".","."
"","342
001","44","3.273","31.8","27.3","22.7","9.1","6.8",".","2.3",".",".",".",".",".",".",".",".","."
"","342
002","51","2.980","23.5","17.6","23.5","13.7","17.6","2.0","2.0",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","95","3.116","27.4","22.1","23.2","11.6","12.6","1.1","2.1",".",".",".",".",".",".",".",".","."
