"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","112","3.928","88.4","7.1","3.6",".",".",".",".",".",".",".",".",".","0.9",".",".","."
"","301
002","99","3.970","96.0","3.0",".","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","301
003","98","3.959","90.8","8.2",".",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"How People Learn","Course Total","309","3.951","91.6","6.1","1.3","0.3",".",".",".",".",".",".",".",".","0.6",".",".","."
"","320
001","103","3.810","89.3","1.9","1.9",".",".",".","3.9","1.0",".",".",".",".",".","1.9",".","."
"","320
002","100","3.865","88.0","5.0","1.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","203","3.838","88.7","3.4","1.5","2.0","1.0",".","2.0","0.5",".",".",".",".",".","1.0",".","."
"Human Develop-Adolescence","321
001","108","3.743","71.3","13.9","5.6","4.6","0.9",".","0.9",".",".",".",".",".","2.8",".",".","."
"Mind, Brain and Education","326
001","114","3.857","86.0","4.4","3.5","2.6","0.9","0.9",".",".","0.9",".",".",".",".","0.9",".","."
"Hum Devel Chldhood-Adolescn","331
001","77","3.643","57.1","27.3","6.5","5.2","3.9",".",".",".",".",".",".",".",".",".",".","."
"","470
013","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
025","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
028","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
029","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","506
009","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","32","3.935","87.5","6.3","3.1",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Thinking, Feeling, & Learning","533
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behavior Analysis in Classrms","541
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biological Basis of Behavior","542
001","20","3.974","90.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"Found of Ed Measurement","570
001","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","621
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","25","3.932","76.0","12.0",".",".",".",".",".",".",".",".",".",".","12.0",".",".","."
"","621
004","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adol Dev in Educ Contexts","Course Total","76","3.979","92.1","3.9",".",".",".",".",".",".",".",".",".",".","3.9",".",".","."
"Supervision of Schl Personnel","631
001","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
010","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","28","3.926","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
