"L&S","","","","","","","","","","","","","","","","","","","","",""
"GERMAN, NORDIC, AND SLAVIC Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"425
GNS","","","","","","","","","","","","","","","","","","","","",""
"Folklore Cent East North Eur","200","001","","20","3.775","75.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in GNS","270","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Kazakh","331","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Turkish","339","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in GNS","370","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","439","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","439","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Turkish","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Fifth Semester Turkish & Azeri","539","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"425
GNS","","Dept. Total","","35","3.883","85.7","8.6","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
