"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Recent Developmnts-Soc Work
861","030","","22","3.875","86.4","4.5",".","4.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"873","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"873","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Work Practice in Hlth Care","Course Total","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","010","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth, Aging, Disably Pol&Serv","Course Total","","21","3.762","57.1","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thesis-Research
890","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","001","","23","3.804","60.9","39.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","010","","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","020","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Chld, Youth, Fam Pol&Services","Course Total","","46","3.793","65.2","30.4","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare
921","001","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Faculty Research Seminar
946","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar
949","001","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"PhD Proseminar
951","001","","7","3.700","28.6","42.9",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","8","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
