"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"Grammaire avancee
615","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Rspnsbility in Prof French
616","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Francaise-XVIIIe Siecle
631","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Litterature-XVIIe Siecle
639","001","","7","3.833","57.1","28.6",".",".",".",".",".",".","14.3",".",".",".",".",".",".","."
"Directed Study
699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof French Masters Prg Intern
793","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","23","3.935","87.0",".","4.3",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"College Teaching of French
820","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Materials&Methods-Rsch
901","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Questions-Litterature
947","001","","9","3.900","44.4","11.1",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","12","",".",".",".",".",".",".",".","75.0","8.3",".",".","16.7",".",".",".","."
