"L&S","","","","","","","","","","","","","","","","","","",""
"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Lit & Culture of Asian America","150
001","108","3.505","50.0","31.5","11.1","2.8",".",".","4.6",".",".",".",".",".",".",".",".","."
"AsianAm Lit & Pop Culture","152
001","89","3.809","73.0","20.2","5.6",".",".","1.1",".",".",".",".",".",".",".",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","168","3.622","66.1","17.9","6.0","5.4","1.8","0.6","2.4",".",".",".",".",".",".",".",".","."
"Hmong American Experiences","170
001","11","3.545","81.8",".","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","240
001","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
002","22","3.750","72.7","13.6","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","240
003","21","3.375","28.6","38.1","14.3","4.8","9.5",".",".",".",".",".",".",".","4.8",".",".","."
"","240
004","15","3.600","46.7","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","240
005","19","3.553","57.9","10.5","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","240
006","34","3.809","82.4","5.9","5.9","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","240
007","34","3.818","73.5","11.8","11.8",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Topics-Asian Amer Studies","Course Total","180","3.747","71.1","13.3","8.9","3.3","2.2",".",".",".",".",".",".",".","1.1",".",".","."
"Humanities Topics","560
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"184
ASIAN AM","Dept. Total","563","3.667","66.3","19.0","7.8","3.2","1.2","0.4","1.8",".",".",".",".",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","86","3.422","55.8","20.9","9.3","7.0",".",".","7.0",".",".",".",".",".",".",".",".","."
"Sophomore","","191","3.743","69.6","17.3","8.4","2.1","1.6","1.0",".",".",".",".",".",".",".",".",".","."
"Junior","","168","3.626","63.1","21.4","6.5","3.6","2.4",".","2.4",".",".",".",".",".","0.6",".",".","."
"Senior","","115","3.811","73.0","16.5","7.8","1.7",".",".",".",".",".",".",".",".","0.9",".",".","."
"Undergraduates","","560","3.666","66.3","18.9","7.9","3.2","1.3","0.4","1.8",".",".",".",".",".","0.4",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","563","3.667","66.3","19.0","7.8","3.2","1.2","0.4","1.8",".",".",".",".",".","0.4",".",".","."
