"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","93","3.489","54.8","17.2","10.8","11.8","3.2","1.1","1.1",".",".",".",".",".",".",".",".","."
"Information Literacies Online","301
001","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
001","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","341
003","11","3.850","72.7","9.1","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","341
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tpcs in Info St-Tech Aspects","Course Total","20","3.824","60.0","20.0","5.0",".",".",".",".","10.0",".",".",".",".","5.0",".",".","."
"","351
001","120","3.950","95.0","1.7","0.8",".","1.7",".",".","0.8",".",".",".",".",".",".",".","."
"","351
002","17","3.676","82.4","5.9","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Intro to Digital Information","Course Total","137","3.915","93.4","2.2","1.5",".","1.5",".","0.7","0.7",".",".",".",".",".",".",".","."
"","461
001","55","3.750","78.2","12.7","3.6",".",".",".","3.6",".",".",".",".",".","1.8",".",".","."
"","461
002","69","3.647","49.3","36.2","8.7","1.4","2.9",".",".",".",".",".",".",".","1.4",".",".","."
"Data Ethics and Policy","Course Total","124","3.700","62.1","25.8","6.5","0.8","1.6",".","1.6",".",".",".",".",".","1.6",".",".","."
"","500
001","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","500
002","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500
003","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Code and Power","Course Total","42","3.939","88.1","7.1","2.4",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"","601
001","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","30","3.933","90.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Perspectives, Contexts","Course Total","80","3.950","92.5","5.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
001","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
002","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
003","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
004","22","3.810","72.7","13.6","4.5","4.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"Info: Org and Search","Course Total","112","3.950","92.0","5.4","0.9","0.9",".",".",".",".",".",".",".",".","0.9",".",".","."
"Research and Assessment","603
001","18","3.778","83.3",".","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"User Experience Design 1","611
001","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","615
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","615
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Systems Analysis & Proj Mgmt","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","620
002","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","29","4.000","93.1",".",".",".",".",".",".",".",".",".",".",".","6.9",".",".","."
"","622
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Childrens Literature","Course Total","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","632
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","632
002","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","632
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Metadata Standards and XML","Course Total","19","3.735","78.9","5.3",".",".",".",".","5.3",".",".",".",".",".","10.5",".",".","."
"","635
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","Page 274 of 450",""
