"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"","268
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
071","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
171","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
101","","12","3.458","50.0","25.0","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","271
102","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
103","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","","36","3.611","52.8","27.8","16.7",".",".","2.8",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 1","301
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Arr & Orch for Mus Teach","304
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"W African Dance/Music-Americas","318
001","","18","3.438","61.1","5.6","5.6","5.6","5.6",".","5.6","5.6",".",".",".",".","5.6",".",".","."
"","331
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","331
066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Improvisation","Course Total","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogy","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Wind Ensemble","40
001","","30","3.817","86.7","3.3","3.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Vocal","409
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Concert Band","41
001","","46","3.576","71.7","4.3","10.9","6.5","2.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Instr","410
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey Music-Baroque Era","413
001","","19","3.500","52.6","26.3",".","5.3","5.3","5.3",".","5.3",".",".",".",".",".",".",".","."
"Survey Music-Classic Era","414
001","","19","3.816","78.9","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","","243","3.984","99.6",".",".",".",".",".","0.4",".",".",".",".",".",".",".",".","."
"Teaching Pop Inst Mus 1","420
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","","42","4.000","97.6",".",".",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","43
002","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","","87","4.000","98.9",".",".",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"Collegium Musicum","461
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Acting for Singers","463
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Diction for Singers","466
001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Music","497
092","","35","3.971","94.3",".","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","499
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 291 of 450",""
