"INTEGRATED LIBERAL STUDIES Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Principles-Envrnmtl Science
126
001","","6","2.833","50.0",".","16.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"138
002","","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"138
005","","10","3.700","80.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"138
006","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
008","","11","3.273","81.8",".",".",".",".",".","18.2",".",".",".",".",".",".",".",".","."
"138
010","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
011","","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"138
012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"138
014","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
CRC 1st Yr Smr: Lib Arts Educ","","75","3.727","85.3","1.3","8.0",".","1.3",".","4.0",".",".",".",".",".",".",".",".","."
"157
001","","10","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"157
002","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
003","","10","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"157
005","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"157
007","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
008","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
009","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
010","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
012","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"157
014","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Bradley Roundtable Seminar","","95","",".",".",".",".",".",".",".",".",".","97.9","2.1",".",".",".",".","."
"Critical Thinkng & Expressn
200
001","","111","3.846","78.4","13.5","1.8","1.8",".",".","0.9",".",".",".",".",".","1.8","1.8",".","."
"W Culture:Sci,Tech,Philos I
201
001","","148","3.581","62.8","20.9","8.1","2.0","0.7","2.7","2.7",".",".",".",".",".",".",".",".","."
"West Culture:Lit&The Arts I
203
001","","126","3.698","77.8","8.7","4.0","3.2","0.8","0.8","3.2","0.8",".",".",".",".","0.8",".",".","."
"W Cult:Pol,Econ&Soc Thght I
205
001","","41","3.366","29.3","34.1","29.3","4.9",".",".","2.4",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing
234
001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Science
254
001","","27","3.615","51.9","18.5","22.2","3.7",".",".",".",".",".",".",".",".",".","3.7",".","."
"Peer Mentor Seminar
357
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machiavelli and His World
365
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"371
002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
003","","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
004","","10","3.400","50.0","10.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Interdis in Arts & Humanities","","40","3.750","67.5","22.5","2.5","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies-Soc Sciences
372
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Integrated LiberalStudies
490
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
