"CELL AND REGENERATIVE BIOL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","",""
"Proteomics for Biologists
630","001","","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","41","4.000","97.6",".",".",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"675","003","","8","3.917","62.5","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".","12.5","."
"Cell and Regenerative Biology","Course Total","","49","3.974","91.8","2.0",".",".",".",".",".","4.1",".",".",".",".",".",".","2.0","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developmental Genetics
710","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"IP, Patents, and Licensing
800","001","","24","3.646","41.7","45.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus of Biotech: Fundamentals
802","001","","24","3.521","16.7","70.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Technologies I
803","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biotech Reg and Ethics
804","001","","24","3.478","16.7","58.3","20.8",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Early Drug Discovery
830","001","","25","3.780","56.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Technologies III
834","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus of Biotech:Challenges&Apps
841","001","","25","3.680","36.0","64.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","11","",".",".",".",".",".",".",".","81.8",".",".",".",".",".",".","18.2","."
