"ATMOSPHERIC & OCEANIC SCIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"Weather and Climate","100","001","217","2.936","18.4","22.6","26.3","9.7","8.8","2.8","5.5","5.5","0.5",".",".",".",".",".",".","."
"Weather and Climate","101","001","67","3.197","29.9","26.9","23.9","6.0","7.5",".","4.5",".",".",".",".",".","1.5",".",".","."
"Natural Hazards and Disasters","140","001","95","3.800","78.9","11.6","4.2","3.2","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"Natural Hazards of Weather","141","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamics-Atmosphere&Ocean I","310","001","21","3.194","52.4","4.8","9.5",".","4.8","9.5","4.8","4.8",".",".",".",".","4.8",".","4.8","."
"Physics-Atmosphere&Ocean I","330","001","15","3.107","40.0","26.7",".","6.7","6.7","6.7","6.7",".",".",".",".",".","6.7",".",".","."
"Past Climatic Environments","335","001","19","3.263","21.1","36.8","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Air Quality","355","001","29","3.431","41.4","20.7","27.6","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
"Global Climate Processes","425","001","18","3.389","33.3","44.4","16.7",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Syn Lab I:Frontal Cyclone","452","001","15","3.000","6.7","26.7","40.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biophysics","532","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Climatological Analysis","575","001","23","3.826","73.9","21.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics I","610","001","16","3.733","56.3","25.0","12.5",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"Intro to Atm & Ocn Physics","630","001","16","3.500","37.5","43.8","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Cloud Physics","637","001","13","3.583","38.5","30.8","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","3.941","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollution Chemistry","701","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Frontal Cyclone","751","001","7","2.917","14.3","28.6",".","14.3","28.6",".",".",".",".",".",".",".",".","14.3",".","."
"Seminar-Meteorology","900","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology & Marine Sci Seminar","911","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intr. to WI Ecol.: Grad Sem","953","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","052","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","34","",".",".",".",".",".",".",".","47.1",".",".",".","52.9",".",".",".","."
"Advanced Independent Study","999","016","3","***","","","","","","","","","",".",".",".",".",".",".","."
