"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","126","2.996","19.8","15.9","31.7","15.1","12.7","1.6","1.6",".",".",".",".",".",".","0.8",".","0.8"
"","101
002","106","2.898","20.8","20.8","27.4","10.4","7.5","2.8","7.5","2.8",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","232","2.952","20.3","18.1","29.7","12.9","10.3","2.2","4.3","1.3",".",".",".",".",".","0.4",".","0.4"
"","102
001","13","3.038","15.4","7.7","61.5",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","102
002","8","3.063","25.0","12.5","37.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","102
003","11","3.273","27.3","9.1","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","10","2.900","50.0",".","30.0",".",".",".","20.0",".",".",".",".",".",".",".",".","."
"","102
005","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","7","2.643","14.3","28.6",".","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".","."
"","102
007","14","3.429","50.0","14.3","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
008","7","3.286","57.1",".","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","102
009","11","2.773","9.1","45.5","27.3",".",".",".","18.2",".",".",".",".",".",".",".",".","."
"","102
010","14","3.143","28.6","7.1","50.0","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"","102
011","8","2.813","37.5",".","12.5","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"","102
012","9","3.444","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","10","2.600","30.0","20.0","20.0",".",".","10.0","20.0",".",".",".",".",".",".",".",".","."
"","102
014","11","3.227","27.3","27.3","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
015","12","3.292","50.0","25.0",".",".","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","102
016","16","3.063","31.3","25.0","12.5",".","25.0","6.3",".",".",".",".",".",".",".",".",".","."
"","102
017","9","3.278","44.4","11.1","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","102
018","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
019","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
020","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","202","3.146","34.7","15.8","29.7","3.5","9.4","4.0","3.0",".",".",".",".",".",".",".",".","."
"","151
001","65","2.946","30.8","9.2","27.7","1.5","23.1","6.2","1.5",".",".",".",".",".",".",".",".","."
"","151
002","45","3.012","22.2","11.1","33.3","17.8","6.7","2.2","2.2","4.4",".",".",".",".",".",".",".","."
"","151
003","38","2.757","7.9","2.6","55.3","13.2","13.2","2.6","2.6",".",".",".",".",".",".",".",".","2.6"
"Introductory Biology","Course Total","148","2.917","22.3","8.1","36.5","9.5","15.5","4.1","2.0","1.4",".",".",".",".",".",".",".","0.7"
"Introductory Biology","152
001","158","3.252","34.8","13.9","34.8","1.9","12.0","1.9",".",".",".",".",".",".","0.6",".",".","."
"","153
001","22","2.909","27.3","9.1","36.4","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","153
002","23","3.065","47.8","4.3","17.4",".","21.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"","153
003","20","3.050","25.0","15.0","40.0","5.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","65","3.008","33.8","9.2","30.8","4.6","13.8","1.5","6.2",".",".",".",".",".",".",".",".","."
"Directed Study","199
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Ecology","260
001","57","3.368","47.4","12.3","28.1","1.8","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","299
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","2","***","","","","","","","","","","","","","","","",""
"Introduction to Entomology","302
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","63","2.992","22.2","9.5","33.3","14.3","14.3","3.2",".","3.2",".",".",".",".",".",".",".","."
"","316
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
002","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
