"ENGR MECHANICS & ASTRONA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog
1","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"201","001","","156","2.981","28.2","23.1","16.0","10.3","9.0","10.9","1.9",".",".",".",".",".",".",".","0.6","."
"201","002","","133","3.117","30.1","22.6","22.6","9.8","6.8","6.8","1.5",".",".",".",".",".",".",".",".","."
"Statics","Course Total","","289","3.043","29.1","22.8","19.0","10.0","8.0","9.0","1.7",".",".",".",".",".",".",".","0.3","."
"Dynamics
202","001","","104","2.870","14.4","21.2","25.0","20.2","13.5","2.9","2.9",".",".",".",".",".",".",".",".","."
"303","001","","65","2.992","18.5","20.0","29.2","15.4","13.8","1.5","1.5",".",".",".",".",".",".",".",".","."
"303","002","","42","2.857","11.9","11.9","35.7","21.4","16.7","2.4",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","","107","2.939","15.9","16.8","31.8","17.8","15.0","1.9","0.9",".",".",".",".",".",".",".",".","."
"307","003","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","004","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","007","","8","3.375","50.0","25.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"307","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"307","010","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","011","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"307","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","60","3.675","60.0","21.7","16.7",".",".","1.7",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements
405","001","","34","3.632","50.0","32.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Design Probs in Engineering
469","001","","39","3.615","51.3","20.5","28.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech of Materials I
506","001","","49","3.266","32.7","24.5","16.3","14.3","6.1",".","2.0",".",".",".",".",".","4.1",".",".","."
"Aerodynamics
521","001","","43","3.558","51.2","23.3","16.3","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"Rocket Propulsion
524","001","","37","2.932","8.1","27.0","35.1","18.9","5.4","2.7","2.7",".",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal
540","001","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Heterogeneous&Multiphase Mtrls
541","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Dynamics
542","002","","44","3.000","27.3","20.5","20.5","6.8","13.6","6.8","2.3",".",".",".",".",".","2.3",".",".","."
"Engineering Analysis I
547","001","","17","3.353","47.1","5.9","17.6","29.4",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Mechanics
570","001","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"601","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"601","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","","10","3.925","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Finite Elements
605","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Elasticity
700","001","","17","3.625","41.2","41.2","5.9","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
