"HUMAN DEVEL & FAMILY STUDI Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"HDFS Leadership Symposium","253","001","141","3.986","97.2",".",".",".","0.7",".",".",".",".",".",".",".","1.4",".","0.7","."
"Development of Young Child","362","001","232","3.832","81.9","9.5","4.3","2.6","1.3","0.4",".",".",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","363","001","223","3.700","70.0","15.7","5.4","4.0","4.0","0.9",".",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","425","002","53","3.868","90.6","1.9",".","5.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469","001","48","3.915","91.7","2.1",".","2.1","2.1",".",".",".",".",".",".",".","2.1",".",".","."
"","474","001","46","3.856","82.6","4.3","8.7","2.2",".",".",".",".",".",".",".",".","2.2",".",".","."
"","474","002","50","3.830","84.0","6.0","6.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","","Course Total","96","3.842","83.3","5.2","7.3","1.0","2.1",".",".",".",".",".",".",".","1.0",".",".","."
"Special Topics","501","002","41","3.575","70.7","7.3","7.3","2.4","4.9","2.4","2.4",".",".",".",".",".",".",".","2.4","."
"","517","001","50","3.880","92.0",".","6.0",".",".","2.0",".",".",".",".",".",".",".",".",".","."
"","517","002","50","3.710","80.0","8.0","4.0","2.0","2.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"Couple Relationships","","Course Total","100","3.795","86.0","4.0","5.0","1.0","1.0","2.0","1.0",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535","001","50","3.780","68.0","22.0","8.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Research Experience in HDFS","592","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601","001","22","3.976","90.9","4.5",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Mass Media and Youth","616","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650","001","33","3.727","90.9",".","3.0",".",".",".","6.1",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663","001","31","3.742","87.1","3.2",".","3.2","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"Senior Thesis","690","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Current Topics in HDFS","766","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bridging Gap: Rsch & Action","872","001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","044","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","22","",".",".",".",".",".",".",".","54.5",".",".",".","45.5",".",".",".","."
