"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","Dept. Total","7845","3.393","46.3","18.2","15.8","7.0","5.2","1.7","1.5","2.8","0.0","1.0","0.1","0.1","0.3","0.1","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","615","3.413","55.3","20.2","10.7","4.6","3.4","2.4","2.9",".",".","0.3",".",".","0.2",".",".","."
"Sophomore","","1370","3.478","50.4","18.9","16.6","5.5","4.1","1.6","1.6",".",".","0.7","0.1",".","0.2","0.2",".","."
"Junior","","1956","3.353","44.5","16.4","19.4","8.8","5.2","2.5","1.4","0.1",".","1.3","0.1",".","0.3","0.2",".","."
"Senior","","2512","3.227","37.2","19.1","19.0","10.0","8.8","1.9","1.7","0.4","0.0","1.3","0.1","0.2","0.3",".",".","0.0"
"Undergraduates","","6453","3.333","43.9","18.3","17.8","8.2","6.2","2.0","1.7","0.2","0.0","1.1","0.1","0.1","0.3","0.1",".","0.0"
"Special","","184","3.616","61.4","17.9","9.2","3.8","1.6","1.1","1.6","0.5",".","1.6",".",".",".",".","1.1","."
"Graduate","","1217","3.761","56.9","17.3","6.0","1.1","0.5","0.1","0.2","16.8",".","0.3",".","0.3","0.2","0.2","0.1","."
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","7855","3.393","46.4","18.2","15.8","7.0","5.2","1.7","1.5","2.8","0.0","1.0","0.1","0.1","0.3","0.1","0.0","0.0"
