"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Companion Animal&Equine Med I","632
001","89","3.579","43.8","28.1","28.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Medicine","634
001","89","3.101","14.6","19.1","49.4","5.6","11.2",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","18","4.000","61.1",".",".",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","16","4.000","68.8",".",".",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","21","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"","670
001","38","4.000","34.2",".",".",".",".",".",".","65.8",".",".",".",".",".",".",".","."
"","670
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","42","4.000","38.1",".",".",".",".",".",".","61.9",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","39","4.000","79.5",".",".",".",".",".",".","20.5",".",".",".",".",".",".",".","."
"","675
002","36","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","675
003","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
004","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
007","31","4.000","29.0",".",".",".",".",".",".","71.0",".",".",".",".",".",".",".","."
"","675
008","8","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","675
010","22","4.000","68.2",".",".",".",".",".",".","31.8",".",".",".",".",".",".",".","."
"","675
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
026","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
053","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","180","4.000","22.2",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"","678
001","49","4.000","26.5",".",".",".",".",".",".","73.5",".",".",".",".",".",".",".","."
"","678
002","8","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","57","4.000","24.6",".",".",".",".",".",".","75.4",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","20","4.000","30.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","6","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","699
027","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","36","4.000","47.2",".",".",".",".",".",".","52.8",".",".",".",".",".",".",".","."
"Production Medicine I","701
001","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Production Medicine II","703
001","16","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"","775
001","54","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
002","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
003","13","",".",".",".",".",".",".",".","92.3",".",".",".",".",".",".","7.7","."
"","775
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","94","",".",".",".",".",".",".",".","98.9",".",".",".",".",".",".","1.1","."
