"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"ONCOLOGY","","","","","","","","","","","","","","","","","","",""
"Junior","","7","3.667","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","58","3.628","48.3","27.6","22.4",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","65","3.632","49.2","26.2","23.1",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"Special","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","103","3.688","34.0","9.7","9.7",".",".",".",".","37.9",".",".",".","7.8",".",".","1.0","."
"Prof Yr 2","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","",".",".",".",".",".",".","."
