"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","",""
"FOREST AND WILDLIFE ECOLO Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Forests of the World","100","001","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orientation to Wildlfe Ecology","101","001","36","3.875","88.9","2.8","5.6",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"Living with Wildlife","110","001","187","3.255","35.8","23.0","14.4","11.2","11.8","1.6","0.5","1.1","0.5",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","299","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","052","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Wildlife Ecology","318","001","31","2.855","22.6","9.7","25.8","19.4","16.1","3.2","3.2",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","48","3.625","66.7","12.5","12.5","4.2","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Physiologicl Animal Ecology","401","001","51","3.133","25.5","23.5","15.7","17.6","11.8","2.0",".",".",".",".",".",".","2.0","2.0",".","."
"Dendrology","402","001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Wildlife Damage Management","404","001","11","3.300","27.3","9.1","45.5","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"Tree Physiology","415","001","12","3.542","58.3",".","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"General Ecology","460","001","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548","001","52","3.412","36.5","32.7","17.3","5.8","3.8",".","1.9","1.9",".",".",".",".",".",".",".","."
"","550","001","23","3.587","47.8","26.1","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","550","002","20","3.300","25.0","30.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology","","Course Total","43","3.453","37.2","27.9","25.6","7.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology Lab","551","002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Management Tech","561","002","26","3.640","57.7","19.2","11.5","3.8","3.8",".",".",".",".",".",".",".","3.8",".",".","."
"","571","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","571","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","","Course Total","8","3.125",".","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Complex Conservation of Deer","577","001","23","2.932","17.4","4.3","39.1","17.4","17.4",".",".",".",".",".",".",".","4.3",".",".","."
"Integrated Resource Mgmt","590","001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Climate Change Ecology","660","001","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","675","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Develop-Forest/Wildlife","","Course Total","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","052","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","875","001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
