"L&S","","","","","","","","","","","","","","","","","","","",""
"COMPARATIVE LITERATURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","",""
"203","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"203","002","","20","3.650","35.0","60.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Cross-Cultrl Lit Form","Course Total","","40","3.825","67.5","30.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problms in Comp Lit & Cultures
350","001","","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Compar In & Beyond Compar Lit
500","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
