"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103","001","","295","3.416","39.3","20.0","25.1","3.1","2.4","2.4","0.7","6.8",".",".",".",".",".",".",".","0.3"
"103","002","","218","3.493","46.8","22.0","19.7","2.3","2.8","1.8","0.9","3.2",".",".",".",".",".","0.5",".","."
"The Evolving Universe","Course Total","","513","3.449","42.5","20.9","22.8","2.7","2.5","2.1","0.8","5.3",".",".",".",".",".","0.2",".","0.2"
"Exploration of Solar System
104","001","","135","3.479","42.2","22.2","17.0","2.2","2.2","1.5","1.5","10.4",".",".",".",".",".",".","0.7","."
"The Dark Side of the Universe
170","001","","96","3.444","31.3","32.3","18.8","8.3","2.1",".",".","6.3",".",".",".",".","1.0",".",".","."
"The Physical Universe
200","001","","40","3.553","67.5","10.0","5.0","5.0",".","5.0","2.5","5.0",".",".",".",".",".",".",".","."
"History of Matter in Universe
236","001","","46","3.595","67.4","13.0","2.2",".","2.2","2.2","4.3","4.3",".",".",".",".",".","4.3",".","."
"Stellar Astrophysics
310","001","","38","3.114","21.1","31.6","13.2","10.5","10.5","5.3",".","2.6",".",".",".",".",".","5.3",".","."
"The Interstellar Medium
320","001","","13","3.462","53.8","15.4","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Experience-Astronom Observ
460","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Tech-Mod Observatl Astrophy
500","001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis
691","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.786","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Astrophysics I
700","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Astrophysics
910","001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","25","",".",".",".",".",".",".",".","88.0",".",".",".","12.0",".",".",".","."
