"BIOLOGICAL SYSTEMS ENGINE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Educ Program
1","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Principles-Biol Systms
249","001","","46","2.544","6.5","6.5","28.3","13.0","39.1","4.3",".",".",".",".",".",".","2.2",".",".","."
"Intro to Computer Aided Design
270","001","","35","3.286","22.9","34.3","31.4","5.7","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"299","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"367","001","","74","3.547","47.3","25.7","20.3","2.7","4.1",".",".",".",".",".",".",".",".",".",".","."
"367","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","76","3.559","48.7","25.0","19.7","2.6","3.9",".",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment
372","001","","30","3.133","10.0","30.0","36.7","23.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics
375","001","","20","3.475","50.0","30.0","10.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Food&Bioprocessing Operations
461","001","","17","2.941","11.8","35.3","23.5","11.8","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"Irrigatn&Drainage Sys Dsgn
473","001","","14","3.464","42.9","42.9",".","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"Engr Principles-Ag Machinery
475","001","","15","3.467","46.7","20.0","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering
491","001","","6","2.917",".",".","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Sys Eng Dsgn Practicum II
509","001","","56","3.679","53.6","30.4","14.3","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Biology in Engineering Seminar
517","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching
799","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar
900","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","28","",".",".",".",".",".",".",".","35.7",".",".",".","64.3",".",".",".","."
