"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","",""
"ED LEADERSHP & POLICY ANAL Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"","502","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","502","002","","10","3.813","70.0",".",".","10.0",".",".",".",".",".",".",".",".","20.0",".",".","."
"","502","003","","18","3.967","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","","Course Total","","33","3.810","81.8","3.0",".","9.1",".",".",".",".",".",".",".",".","6.1",".",".","."
"Field Experience-Ed Ldrship","700","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701","001","","27","3.885","85.2",".","11.1",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"","701","002","","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Intro-Higher & Post-Sec Ed","","Course Total","","44","3.917","86.4","2.3","6.8",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Athletics Administration","710","001","","22","3.841","77.3","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715","001","","25","3.935","84.0","4.0","4.0",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"Intro to Qualitative Research","719","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Admin Stdt Serv-Higher Educ","736","001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Leadership","780","001","","19","3.861","73.7","15.8","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Doctoral Inquiry","810","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Quant Inquiry in Educ","822","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Mgmt for Ed Pol Analysis","823","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Surveys/Quant Data Collection","827","001","","18","3.969","83.3","5.6",".",".",".",".",".","5.6",".",".",".",".","5.6",".",".","."
"Legal Aspects of Higher Ed","841","001","","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Legal Foundations of Spec Ed","842","001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Leadership","844","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","845","001","","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","845","002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School-Level Leadership","","Course Total","","21","3.974","85.7","4.8",".",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"Instr Leadership&Tchr Capacity","847","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","860","001","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".","10.0","."
"Race Class & Ed Inequality","863","001","","14","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"The Politics of Education","870","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"The American Community College","878","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internationalization Higher Ed","886","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diversity and Inequality","887","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Authentic Pedagogy and Achieve","911","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","","Course Total","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Issues in Ed Policy","961","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","","","Page 91 of 450"
