"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"US & Ltn Am:Col Era to Present","268","001","7","3.786","85.7",".",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LGBT History","275","001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Africa: Introductory Survey","277","001","44","3.604","34.1","9.1","4.5","2.3","4.5",".",".","40.9",".",".",".",".","2.3",".","2.3","."
"History at Work","300","001","22","3.697","68.2","9.1","13.6",".","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"History Internship Seminar","301","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Vietnam Wars","319","001","80","3.824","61.3","1.3","1.3",".","2.5",".","1.3","32.5",".",".",".",".",".",".",".","."
"Environmental History: Europe","328","001","12","2.958","8.3","33.3","41.7","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","335","001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","004","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Korean War to the 21st Century","","Course Total","22","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Peoples Replc China 1949 on","342","001","68","3.539","39.7","25.0","2.9","2.9","1.5",".","2.9","20.6",".",".",".",".","4.4",".",".","."
"From Fascism to Today","366","001","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public History Workshop","401","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-American Education","412","001","35","3.300","37.1","17.1","31.4","8.6","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"US Military History to 1902","427","001","42","3.855","71.4","11.9","7.1",".",".",".",".",".",".",".",".",".",".",".","9.5","."
"History of Scand to 1815","431","001","22","3.238","31.8","27.3","18.2","9.1","4.5",".","4.5",".",".",".",".",".",".","4.5",".","."
"Japan, US-Crisis in Asia","456","001","34","3.471","41.2","38.2","11.8","2.9","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","196","3.582","22.4","5.6","5.6","2.0","1.0",".","0.5","62.8",".",".",".",".",".",".",".","."
"Global Environmental History","465","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Medieval Law and Society","476","001","15","3.333","40.0","40.0",".","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"Reading Seminar in History","500","002","12","3.864","75.0","8.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","11","3.450","63.6","9.1","9.1",".",".",".","9.1",".",".",".",".",".","9.1",".",".","."
"Contemp Scand:Politics&Hist","577","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","004","13","3.625","46.2","30.8","7.7","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"","600","005","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","007","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","008","18","3.778","72.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","010","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","011","10","3.450","70.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","76","3.764","71.1","15.8","7.9","1.3",".",".","1.3",".",".",".",".",".","2.6",".",".","."
"Hist-Rad&Expermntl Ed in US&UK","622","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Books Print Cult Europe No Am","650","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680","001","15","3.786","60.0","26.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","681","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","019","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 251 of 450",""
