"","439
001","","2","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","439
002","","1","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Third Semester Turkish","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","",""
"Fifth Semester Turkish & Azeri","539
001","","1","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"425
GNS","Dept. Total","","35","3.883","85.7","8.6","2.9","",".","2.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"425
GNS","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","9","3.833","77.8","11.1","11.1","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","8","3.940","87.5","12.5",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","8","3.944","87.5","12.5",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","29","3.855","82.8","10.3","3.4","",".","3.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","35","3.883","85.7","8.6","2.9","",".","2.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
