"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"Radiolgcal Physcs&Dosimetry
501","002","","19","3.474","36.8","36.8","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Health Phys and Bio Effects
569","001","","16","3.638","37.5","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Med Img Sci:Math & Cncpt Fndtn
573","001","","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microscopy of Life
619","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Neuroimaging Methods
651","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"671","004","","18","3.677","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"671","038","","13","3.750","53.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"671","041","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"671","042","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Medical Physics","Course Total","","55","3.776","72.7","20.0","5.5",".",".",".",".",".",".",".",".",".",".",".","1.8","."
"Radiation Physics Metrology
679","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading or Research","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics in Medical Physics
701","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women and Leadership
705","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv in Med Magnet Resonance
710","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"X-ray Computed Tomography
777","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Machine Learning Ultrason Imag
778","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Journal Club and Seminar","Course Total","","28","3.875","82.1","10.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","068","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 379 of 450",""
