"DANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"","1
010","","23","3.304","34.8","21.7","21.7","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"","1
011","","22","3.844","50.0","22.7",".",".",".",".",".",".",".",".",".",".","13.6",".","13.6","."
"Workshop in Dance Activity","Course Total","","45","3.526","42.2","22.2","11.1","6.7","4.4",".",".",".",".",".",".",".","6.7",".","6.7","."
"Understanding Dance","100
001","","43","3.674","86.0","4.7","2.3",".",".",".","7.0",".",".",".",".",".",".",".",".","."
"","111
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
004","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory I","Course Total","","33","3.969","93.9","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hip-Hop Dance Tech&Theory1","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","118
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance","Course Total","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
004","","27","3.660","66.7","11.1","3.7","7.4",".","3.7",".","3.7",".",".",".",".","3.7",".",".","."
"","135
005","","19","3.368","52.6","15.8","10.5","15.8",".",".","5.3",".",".",".",".",".",".",".",".","."
"","135
006","","17","3.647","58.8","11.8","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
007","","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","","78","3.592","60.3","14.1","14.1","6.4",".","1.3","1.3","1.3",".",".",".",".","1.3",".",".","."
"Dance Production","140
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Workshop","162
001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"World Dance Cultures","165
002","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dancing Gender","168
001","","93","3.763","80.6","10.8","2.2","2.2","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"Writing the Moving Body","200
001","","26","3.940","88.5","3.8","3.8",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","211
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Dance Tech & Th III","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II","225
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","231
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","231
002","","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Intro-Dance/Movemnt Therapy","Course Total","","31","3.871","96.8",".",".",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"Pilates Mat II","235
001","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","255
001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Collaborative Arts Perform Lab","259
001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance History I","265
001","","29","3.946","89.7","3.4","3.4",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Pol&Cult Perspectives in Dance","268
001","","83","3.728","71.1","12.0","4.8","3.6","2.4",".","1.2",".",".",".",".",".","3.6",".",".","1.2"
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 103 of 450",""
