"MATHEMATICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Adv Topics-Algebraic Geom
863","001","","12","3.850","58.3","25.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Adv Topics in Foundations
873","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","003","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Analysis","Course Total","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Algebra","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"951","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Topology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"96","001","","11","2.045","9.1",".","36.4","9.1","9.1","18.2","18.2",".",".",".",".",".",".",".",".","."
"96","002","","11","2.318","9.1",".","27.3","27.3","18.2","9.1","9.1",".",".",".",".",".",".",".",".","."
"96","003","","13","2.769","15.4","23.1","7.7","7.7","46.2",".",".",".",".",".",".",".",".",".",".","."
"96","004","","17","2.588","11.8","17.6","23.5","5.9","29.4","5.9","5.9",".",".",".",".",".",".",".",".","."
"96","005","","20","2.025",".","15.0","10.0","10.0","35.0","25.0","5.0",".",".",".",".",".",".",".",".","."
"96","006","","18","3.088","5.6","38.9","27.8","11.1","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"96","007","","9","2.722","22.2","11.1","11.1","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"Preparatory Algebra","Course Total","","99","2.505","9.1","17.2","20.2","12.1","25.3","10.1","5.1","1.0",".",".",".",".",".",".",".","."
"967","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"967","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Number Theory","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","137","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","151","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","157","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","159","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","167","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 284 of 450",""
