"L&S","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","Dept. Total","497","3.537","39.8","26.6","7.0","2.6","1.8","0.8","1.4","",".","",".","15.9","0.8","0.2","2.4","0.2",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","172","3.424","25.0","36.6","7.6","2.3","1.2","1.7","1.7","",".","",".","20.9","0.6",".","1.7",".",".","0.6"
"Sophomore","","122","3.714","45.9","23.0","4.9","1.6","1.6",".",".","",".","",".","18.0","1.6",".","3.3",".",".","."
"Junior","","96","3.294","34.4","17.7","15.6","5.2","3.1","1.0","3.1","",".","",".","17.7","1.0",".","1.0",".",".","."
"Senior","","99","3.726","60.6","23.2","1.0","2.0","2.0",".","1.0","",".","",".","4.0",".","1.0","4.0",".",".","1.0"
"Undergraduates","","489","3.532","39.3","26.8","7.2","2.7","1.8","0.8","1.4","",".","",".","16.2","0.8","0.2","2.5",".",".","0.4"
"Special","","3","***","","","","","","","","","","","",".",".",".",".","33.3",".","."
"Graduate","","4","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","497","3.537","39.8","26.6","7.0","2.6","1.8","0.8","1.4","",".","",".","15.9","0.8","0.2","2.4","0.2",".","0.4"
