"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","",""
"Actuarial Science Methods I","300
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","301
001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","301
002","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","303
001","25","3.420","28.0","36.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","19","2.842","15.8","21.1","21.1","21.1","10.5","10.5",".",".",".",".",".",".",".",".",".","."
"Theory of Interest","Course Total","44","3.170","22.7","29.5","25.0","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Reading and Research","399
070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","650
001","33","3.258","30.3","21.2","27.3","12.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","650
002","30","3.117","36.7","13.3","20.0","10.0","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics I","Course Total","63","3.190","33.3","17.5","23.8","11.1","11.1","3.2",".",".",".",".",".",".",".",".",".","."
"","652
001","32","3.078","28.1","9.4","40.6","6.3","9.4","6.3",".",".",".",".",".",".",".",".",".","."
"","652
002","43","2.977","23.3","11.6","37.2","7.0","16.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"Loss Models I","Course Total","75","3.020","25.3","10.7","38.7","6.7","13.3","4.0","1.3",".",".",".",".",".",".",".",".","."
"Loss Models II","653
001","23","3.217","43.5","13.0","30.4","4.3",".",".","8.7",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","34","3.618","44.1","41.2","8.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"242
ACT SCI","Dept. Total","295","3.200","25.8","16.6","22.0","7.1","6.4","2.4","1.0",".",".","18.6",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","",""
"Sophomore","","37","3.132","10.8","10.8","13.5","13.5","2.7",".",".",".",".","48.6",".",".",".",".",".","."
"Junior","","88","3.148","20.5","12.5","22.7","5.7","3.4","3.4","1.1",".",".","30.7",".",".",".",".",".","."
"Senior","","155","3.252","33.5","18.1","25.2","6.5","8.4","2.6","0.6",".",".","5.2",".",".",".",".",".","."
"Undergraduates","","280","3.214","26.4","15.4","22.9","7.1","6.1","2.5","0.7",".",".","18.9",".",".",".",".",".","."
"Special","","9","2.813","22.2","33.3",".",".","22.2",".","11.1",".",".","11.1",".",".",".",".",".","."
"Graduate","","6","3.200",".","50.0","16.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".","."
"","Dept. Total","295","3.200","25.8","16.6","22.0","7.1","6.4","2.4","1.0",".",".","18.6",".",".",".",".",".","."
