"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Program
1","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomedical Engineering Design
200","001","","132","3.674","53.0","30.3","15.9",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"Biomedical Engineering Design
300","001","","92","3.875","81.5","14.1","3.3",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"Bioinstrumentation
310","001","","26","3.423","38.5","15.4","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics
315","001","","87","3.799","69.0","26.4","3.4",".",".","1.1",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena
320","001","","7","3.286","42.9",".","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Applied Statistics for BME
325","001","","98","3.786","71.4","17.3","9.2","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Eng Prin Mol, Cells, Tissues
330","001","","41","3.598","51.2","24.4","19.5","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"389","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"389","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","110","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","118","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","133","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","142","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","148","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","50","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Design Course
400","001","","118","3.886","77.1","22.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orthopaedic Biomechanics
414","001","","27","3.833","70.4","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation
462","001","","26","3.462","30.8","42.3","15.4","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"489","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
