"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","176","3.639","58.5","23.3","11.4","2.3","4.0","0.6",".",".",".",".",".",".",".",".",".","."
"","299
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","4","***","","","","","","","","","","","","","","","",""
"","313
001","79","3.715","45.6","51.9","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","80","3.719","47.5","48.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Nrsg Practice","Course Total","159","3.717","46.5","50.3","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","314
001","78","3.667","39.7","56.4","1.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","314
002","81","3.673","42.0","50.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Promo Dz Prev Acrs Lfspn","Course Total","159","3.670","40.9","53.5","4.4","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","78","3.506","20.5","62.8","15.4",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"","315
002","81","3.538","22.2","61.7","14.8",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"Profnlism in a Nrsg Practice","Course Total","159","3.522","21.4","62.3","15.1",".","0.6",".",".",".",".",".",".",".","0.6",".",".","."
"","316
001","158","",".",".",".",".",".",".",".",".",".","99.4",".",".",".",".",".","."
"","316
003","44","",".",".",".",".",".",".",".",".",".","97.7","2.3",".",".",".",".","."
"Found of Nrsg Pract: Exp Lrng","Course Total","202","",".",".",".",".",".",".",".",".",".","99.0","0.5",".",".",".",".","."
"","317
001","66","3.318","19.7","42.4","24.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","317
002","75","3.400","28.0","38.7","21.3","9.3","2.7",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology for Nrsg Practice","Course Total","141","3.362","24.1","40.4","22.7","9.2","3.5",".",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam","323
003","44","3.136","6.8","45.5","25.0","18.2","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"Hlth Ill Indiv Fam Exp Lrng I","326
004","43","",".",".",".",".",".",".",".",".",".","83.7",".",".",".",".","16.3","."
"Hlt Ill Indiv Fam Exp Lrng II","327
004","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","434
001","80","3.481","13.8","70.0","15.0","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","434
002","84","3.524","21.4","63.1","14.3","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","434
003","43","3.384","11.6","60.5","23.3","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty","Course Total","207","3.482","16.4","65.2","16.4","1.4","0.5",".",".",".",".",".",".",".",".",".",".","."
"","435
001","80","3.950","92.5","6.3",".","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","435
002","85","3.994","98.8","1.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence-Based Practice","Course Total","165","3.973","95.8","3.6",".","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"","436
001","71","",".",".",".",".",".",".",".",".",".","98.6",".",".",".",".",".","."
"","436
002","80","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","436
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","436
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty: EL","Course Total","164","",".",".",".",".",".",".",".",".",".","99.4",".",".",".",".",".","."
"","437
001","81","3.914","86.4","11.1","1.2","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","437
002","84","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Justice in Loc & Glb Stgs","Course Total","165","3.915","84.8","13.9","0.6","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"School Nursing and Comm Hlth","Course Total","2","***","","","","","","","","","","","","","","","",""
"Culturally Congruent Practice","510
001","47","3.798","66.0","27.7","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","Page 427 of 450",""
