"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Negotiations","Course Total","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Administrative Law","744
001","80","1.388","12.5",".","27.5",".","2.5","1.3",".",".",".",".",".",".",".",".",".","."
"","746
001","6","0.667",".",".",".",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","746
002","11","1.000","9.1",".","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Legislation","Course Total","17","0.882","5.9",".","11.8",".","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Patent Law","751
001","16","1.615","18.8",".","18.8",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"Intro-Intellectual Proprty Law","753
001","57","1.304","14.0",".","19.3",".","7.0",".",".","1.8",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768
001","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","771
001","79","1.060","8.9",".","8.9",".","13.9",".",".","15.2",".",".",".",".",".",".",".","."
"","771
002","77","1.586","16.9",".","14.3",".","16.9",".",".","9.1",".",".",".",".",".",".",".","."
"","771
003","22","0.667","9.1",".","9.1",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","Course Total","178","1.205","12.4",".","11.2",".","13.5",".",".","11.2",".",".",".",".",".",".",".","."
"Islamic Law & Jurisprudence","785
001","14","2.000","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","87","1.373","2.3",".","32.2",".",".",".",".","23.0",".",".",".",".",".",".",".","."
"","801
002","35","1.267","17.1",".","11.4",".","2.9",".",".","14.3",".",".",".",".",".",".",".","."
"Evidence","Course Total","122","1.340","6.6",".","26.2",".","0.8",".",".","20.5",".",".",".",".",".",".",".","."
"Civil Procedure II","802
001","72","1.482","6.9",".","29.2",".","8.3",".",".","11.1",".",".",".",".",".",".",".","."
"","808
001","20","1.300","10.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","19","2.158","10.5",".","57.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","Course Total","39","1.718","10.3",".","43.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting and Law","811
001","21","",".",".",".",".",".",".",".","76.2",".",".",".",".",".",".",".","23.8"
"","815
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
002","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
005","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Business Organizations I","817
001","57","1.283","8.8",".","24.6",".","5.3",".",".","7.0",".",".",".",".",".",".",".","."
"Conflict of Laws","820
001","46","1.114","10.9",".","10.9",".","4.3",".",".","23.9",".",".",".",".",".",".",".","."
"Family Law: Marriage & Divorce","822
001","38","0.973","10.5",".","15.8",".","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"International Transactions","828
001","33","1.576","12.1",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","849
001","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","849
002","8","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"","849
003","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Pre-Trial Advocacy","Course Total","30","",".",".",".",".",".",".",".","93.3",".",".",".",".",".",".",".","6.7"
"","850
001","74","1.027","10.8",".","16.2",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"","850
002","28","1.231","7.1",".","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","102","1.080","9.8",".","19.6",".","3.9",".",".","2.0",".",".",".",".",".",".",".","."
"","852
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
002","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
003","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
