"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"CELL AND REGENERATIVE BIOL Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
217
CRB","261","3.786","61.3","27.6","5.4","",".","",".","",".","",".","4.2","",".",".","",".","",".","0.4",".","1.1","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","8","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","44","3.943","93.2","6.8",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","53","3.956","94.3","5.7",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","6","4.000","50.0",".",".","",".","",".","",".","",".","33.3","",".",".","",".","",".",".",".","16.7","."
"Graduate","202","3.752","53.0","34.2","6.9","",".","",".","",".","",".","4.5","",".",".","",".","",".","0.5",".","1.0","."
"Dept. Total","261","3.786","61.3","27.6","5.4","",".","",".","",".","",".","4.2","",".",".","",".","",".","0.4",".","1.1","."
