"ENVIR ST - GAYLORD NELSON I Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Culture and the Environment
445","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Amer Environmental History
460","001","","110","3.673","60.9","23.6","9.1","3.6","1.8","0.9",".",".",".",".",".",".",".",".",".","."
"Global Environmental History
465","001","","14","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Air Pollution&Human Health
502","001","","64","3.683","59.4","21.9","12.5","3.1","1.6",".",".","1.6",".",".",".",".",".",".",".","."
"Culture and Environment
537","001","","16","3.500","43.8","18.8","12.5","6.3","6.3",".",".",".",".",".",".",".","12.5",".",".","."
"Remote Sensing Digitl Image
556","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"600","004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Major Capstone","Course Total","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology
651","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Water Res Mgt Pract Plan Smr I
717","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Energy Analysis & Policy
809","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Resrce Inst&Policies
865","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"900","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","002","","17","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"900","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","27","3.898","85.2","7.4",".","3.7",".",".",".","3.7",".",".",".",".",".",".",".","."
"Graduate Orientation Seminar
901","001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Rem Sens for Intl Development
931","001","","10","4.000","60.0",".",".",".",".",".",".","30.0",".",".",".",".",".",".","10.0","."
"Fndtns of Environ & Sustain Ed
932","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intr. to WI Ecol.: Grad Sem
953","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Conservation Planning
972","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservtn Biol&Sustainable Dev
976","001","","32","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sustainable Development
977","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"978","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"978","002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"978","003","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Cons Tools Modules","Course Total","","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 165 of 450",""
