"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","290","3.124","23.1","23.8","23.4","17.6","10.3","1.7",".",".",".",".",".",".",".",".",".","."
"","103
002","185","3.081","18.4","21.1","31.4","17.8","10.8","0.5",".",".",".",".",".",".",".",".",".","."
"","103
003","179","3.045","20.1","20.7","21.8","25.1","10.6","0.6","0.6","0.6",".",".",".",".",".",".",".","."
"General Physics","Course Total","654","3.090","20.9","22.2","25.2","19.7","10.6","1.1","0.2","0.2",".",".",".",".",".",".",".","."
"","104
001","238","3.093","22.3","22.7","23.1","16.4","9.2","1.7","1.3",".",".",".",".",".",".",".","3.4","."
"","104
002","101","3.180","27.7","24.8","11.9","28.7","5.0",".","1.0",".",".",".",".",".",".",".","1.0","."
"General Physics","Course Total","339","3.120","23.9","23.3","19.8","20.1","8.0","1.2","1.2",".",".",".",".",".",".",".","2.7","."
"","107
001","28","3.875","89.3","3.6","3.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","107
002","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","Course Total","47","3.915","91.5","4.3","2.1",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","109
001","120","3.551","49.2","28.3","13.3","3.3","1.7","1.7","0.8","0.8",".",".",".",".",".",".","0.8","."
"","109
002","79","3.614","48.1","36.7","12.7",".","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","199","3.576","48.7","31.7","13.1","2.0","1.5","1.0","1.0","0.5",".",".",".",".",".",".","0.5","."
"Energy","115
001","38","3.306","15.8","34.2","36.8","7.9",".",".",".",".",".",".",".",".",".",".","5.3","."
"General Physics","201
001","141","2.872","21.3","15.6","22.0","14.2","20.6","5.0","1.4",".",".",".",".",".",".",".",".","."
"","202
001","231","3.217","29.4","22.9","21.2","15.2","10.0","0.9",".",".",".",".",".",".","0.4",".",".","."
"","202
002","241","3.185","26.6","20.3","26.1","18.3","8.3","0.4",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","472","3.201","28.0","21.6","23.7","16.7","9.1","0.6",".",".",".",".",".",".","0.2",".",".","."
"General Physics","207
001","225","2.980","14.7","24.4","30.7","15.1","9.3","2.7","2.2",".",".",".",".",".",".",".","0.4","0.4"
"General Physics","208
001","150","3.067","22.0","18.0","30.0","18.0","10.0","0.7","1.3",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","27","2.407","3.7","11.1","25.9","25.9","22.2",".","11.1",".",".",".",".",".",".",".",".","."
"","247
001","31","3.371","41.9","22.6","16.1","12.9","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"","247
002","24","3.542","54.2","16.7","12.5","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","Course Total","55","3.445","47.3","20.0","14.5","14.5","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"","249
001","33","3.258","27.3","24.2","30.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","249
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"A Modern Intro to Physics","Course Total","37","3.297","32.4","21.6","27.0","10.8","8.1",".",".",".",".",".",".",".",".",".",".","."
"","307
001","18","3.333","27.8","33.3","27.8",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","307
002","9","3.444","22.2","66.7",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","27","3.370","25.9","44.4","18.5",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","66","3.023","28.8","16.7","25.8","15.2","4.5","4.5","4.5",".",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321
001","47","3.011","14.9","27.7","25.5","21.3","6.4","2.1","2.1",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","56","3.182","23.2","25.0","25.0","14.3","10.7",".",".",".",".",".",".",".","1.8",".",".","."
"Special Topics in Physics","406
001","12","3.700","66.7",".","8.3",".","8.3",".",".","16.7",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","51","3.265","41.2","9.8","29.4","5.9","3.9","3.9","2.0","3.9",".",".",".",".",".",".",".","."
"","448
001","27","2.808","29.6","11.1","7.4","18.5","14.8","14.8",".",".",".",".",".",".",".",".","3.7","."
"","448
002","18","3.778","72.2","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","Course Total","45","3.205","46.7","13.3","6.7","13.3","8.9","8.9",".",".",".",".",".",".",".",".","2.2","."
"","499
052","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
112","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
156","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","Page 304 of 450",""
