"MECHANICAL ENGINEERING","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Intro to Controls for ME","346","001","116","3.651","58.6","20.7","13.8","6.0","0.9",".",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","351","001","135","3.915","83.7","15.6","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","352","001","40","3.913","82.5","17.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361","001","49","3.500","51.0","22.4","16.3","4.1","4.1",".","2.0",".",".",".",".",".",".",".",".","."
"","361","002","47","3.053","36.2","19.1","17.0","4.3","10.6","10.6","2.1",".",".",".",".",".",".",".",".","."
"","361","003","34","3.059","29.4","23.5","23.5","5.9","8.8","2.9","5.9",".",".",".",".",".",".",".",".","."
"","361","004","25","3.420","24.0","44.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","","Course Total","155","3.255","37.4","25.2","19.4","5.2","6.5","3.9","2.6",".",".",".",".",".",".",".",".","."
"","363","001","79","3.114","17.7","27.8","30.4","12.7","8.9","2.5",".",".",".",".",".",".",".",".",".","."
"","363","002","77","3.237","26.0","35.1","15.6","14.3","2.6","5.2",".",".",".",".",".",".",".",".","1.3","."
"Fluid Dynamics","","Course Total","156","3.174","21.8","31.4","23.1","13.5","5.8","3.8",".",".",".",".",".",".",".",".","0.6","."
"Elementary Heat Transfer","364","001","109","3.106","7.3","42.2","28.4","15.6","3.7","1.8","0.9",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","368","001","102","3.461","42.2","23.5","25.5","5.9","2.0",".","1.0",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370","001","52","3.327","34.6","26.9","19.2","7.7","11.5",".",".",".",".",".",".",".",".",".",".","."
"Orthopaedic Biomechanics","414","001","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Design with Polymers","418","001","62","3.815","74.2","19.4","3.2","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"","419","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","419","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Injection Molding","","Course Total","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","424","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","424","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Expermntl Design","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Metal Cutting","429","001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439","001","30","3.600","46.7","30.0","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Mechatronics Cntrl Rlztn","445","001","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Automatic Controls","446","003","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Systems Analysis","448","001","19","3.763","68.4","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","459","001","31","3.790","77.4","12.9","3.2","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"","459","003","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computing for Apps in Eng","","Course Total","40","3.800","77.5","12.5","5.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Internal Combustion Engines","469","001","42","3.952","92.9","4.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gas Turbine and Jet Propulsion","471","001","25","3.360","36.0","32.0","20.0","8.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Engr Principles-Ag Machinery","475","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","491","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","015","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491","028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 143 of 450",""
