"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","183","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","25","4.000","68.0",".",".",".",".",".",".",".",".",".",".","4.0","24.0",".",".","4.0"
