"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"So You Want to Chng the World?","100
001","77","3.675","71.4","18.2","5.2",".","1.3",".","3.9",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","28","3.714","60.7","25.0","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","96","3.463","42.7","30.2","11.5","9.4","4.2",".","1.0",".",".",".",".",".","1.0",".",".","."
"Introduction-Social Policy","206
001","76","3.101","25.0","18.4","27.6","14.5","9.2",".","2.6",".",".",".",".",".","1.3","1.3",".","."
"","400
007","13","3.888","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
010","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
012","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
013","13","3.967","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
101","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
102","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","108","3.965","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Poverty and Social Welfare","420
001","16","3.500","31.3","43.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422
001","12","3.636","58.3","16.7",".","16.7",".",".",".",".",".",".",".",".","8.3",".",".","."
"","441
001","18","3.694","44.4","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
003","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
004","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
005","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
010","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
011","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SW with Ind, Fams, and Grps","Course Total","104","3.851","74.0","22.1","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","19","3.737","57.9","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
003","22","3.659","40.9","50.0","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
004","21","3.643","38.1","52.4","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genlst Pract w Comms & Orgs","Course Total","81","3.753","58.0","34.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","98","3.830","80.6","9.2","5.1","2.0","2.0",".",".",".",".",".",".",".","1.0",".",".","."
"Child Welfare","462
001","24","3.783","83.3","8.3",".",".",".",".","4.2",".",".",".",".",".","4.2",".",".","."
"","605
001","45","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","605
010","30","3.948","86.7","10.0",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"The Field of Social Work","Course Total","75","3.838","70.7","24.0","4.0",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"Social Policy","606
010","29","3.839","65.5","31.0",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Diversity Opp Soc Just in SW","640
001","73","3.795","61.6","35.6","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Dev. Disabilities","644
001","19","3.488","84.2","5.3",".",".",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"","646
001","25","3.979","92.0","4.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","646
030","27","3.741","85.2","7.4",".",".","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","Course Total","52","3.876","88.5","5.8",".",".","1.9",".","1.9",".",".",".",".",".","1.9",".",".","."
"Topics-Contemp Soc Welfare","675
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
