"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Elem Matrix&Linear Algebra","Course Total","489","2.858","28.2","8.4","24.7","8.6","21.9","3.5","4.5",".",".",".",".",".","0.2",".",".","."
"","341
002","29","3.518","44.8","20.7","24.1","3.4","3.4",".",".",".",".",".",".",".",".","3.4",".","."
"","341
003","22","3.432","50.0","13.6","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","341
005","28","3.732","67.9","21.4","3.6","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Linear Algebra","Course Total","79","3.571","54.4","19.0","15.2","5.1","5.1",".",".",".",".",".",".",".",".","1.3",".","."
"Multi-Var Calc & Linear Alg","375
001","31","3.417","32.3","35.5","19.4","6.5",".","3.2",".","3.2",".",".",".",".",".",".",".","."
"Appl Dyn Sys, Chaos&Modelng","415
001","49","3.704","71.4","8.2","12.2","6.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"","421
002","26","3.060","30.8","7.7","34.6","11.5","3.8","3.8","3.8","3.8",".",".",".",".",".",".",".","."
"","421
003","36","2.875","41.7","2.8","22.2",".","16.7","11.1","5.6",".",".",".",".",".",".",".",".","."
"","421
004","23","2.818","13.0","4.3","34.8","21.7","21.7",".",".",".",".",".",".",".",".","4.3",".","."
"","421
005","7","3.000","28.6",".","57.1",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","Course Total","92","2.922","30.4","4.3","31.5","8.7","13.0","6.5","3.3","1.1",".",".",".",".",".","1.1",".","."
"Intro-Combinatrl Optimizatn","425
001","15","3.200","33.3","20.0","13.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","431
002","35","3.229","48.6","2.9","22.9","8.6","14.3",".","2.9",".",".",".",".",".",".",".",".","."
"","431
003","32","2.906","25.0","12.5","31.3","6.3","15.6","6.3","3.1",".",".",".",".",".",".",".",".","."
"","431
004","33","2.970","24.2","9.1","36.4","9.1","18.2",".","3.0",".",".",".",".",".",".",".",".","."
"","431
005","23","3.239","47.8","4.3","26.1","8.7","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","123","3.077","35.8","7.3","29.3","8.1","14.6","1.6","3.3",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","29","3.259","27.6","24.1","20.7","27.6",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Number Theory","467
001","32","3.900","75.0","18.8",".",".",".",".",".","3.1",".",".",".",".","3.1",".",".","."
"","475
001","23","3.565","60.9","13.0","13.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","475
002","28","3.643","60.7","17.9","14.3","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","475
003","20","3.105","40.0","5.0","30.0","5.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".","5.0"
"","475
005","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","80","3.506","58.8","11.3","16.3","3.8","6.3","1.3","1.3",".",".",".",".",".",".",".",".","1.3"
"","514
001","38","2.934","23.7","18.4","15.8","15.8","23.7",".","2.6",".",".",".",".",".",".",".",".","."
"","514
002","33","2.848","21.2","9.1","15.2","27.3","27.3",".",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","Course Total","71","2.894","22.5","14.1","15.5","21.1","25.4",".","1.4",".",".",".",".",".",".",".",".","."
"","521
002","52","3.235","42.3","15.4","9.6","15.4","13.5",".","1.9","1.9",".",".",".",".",".",".",".","."
"","521
003","41","3.026","12.2","29.3","17.1","24.4","12.2",".",".","4.9",".",".",".",".",".",".",".","."
"","521
004","41","3.103","17.1","19.5","29.3","24.4","4.9",".",".","2.4",".",".",".",".",".",".","2.4","."
"","521
005","17","3.469","41.2","29.4","11.8",".","11.8",".",".",".",".",".",".",".","5.9",".",".","."
"Analysis I","Course Total","151","3.169","27.2","21.9","17.2","18.5","10.6",".","0.7","2.6",".",".",".",".","0.7",".","0.7","."
"","522
001","43","3.047","20.9","27.9","27.9","4.7","11.6","4.7","2.3",".",".",".",".",".",".",".",".","."
"","522
003","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis II","Course Total","54","3.194","31.5","24.1","25.9","3.7","9.3","3.7","1.9",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","34","2.721","26.5","11.8","20.6","8.8","17.6","5.9","8.8",".",".",".",".",".",".",".",".","."
"Math Methods in Data Science","535
001","41","3.538","46.3","14.6","34.1","2.4",".",".",".","2.4",".",".",".",".",".",".",".","."
"","541
001","30","3.600","53.3","20.0","23.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","541
002","34","3.735","64.7","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","541
004","18","3.250","38.9","27.8","16.7",".","5.6","11.1",".",".",".",".",".",".",".",".",".","."
"Modern Algebra","Course Total","82","3.579","54.9","23.2","14.6","2.4","2.4","2.4",".",".",".",".",".",".",".",".",".","."
