"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Modern Algebra","542","001","","32","3.567","50.0","21.9","9.4","9.4","3.1",".",".",".",".",".",".",".",".","6.3",".","."
"","551","001","","41","3.475","56.1","14.6","12.2","4.9","7.3",".","2.4","2.4",".",".",".",".",".",".",".","."
"","551","002","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Topology","","Course Total","","48","3.532","60.4","12.5","12.5","4.2","6.3",".","2.1","2.1",".",".",".",".",".",".",".","."
"Fundamentals of Set Theory","570","001","","13","3.417","38.5","30.8",".","15.4","7.7",".",".",".",".",".",".",".",".",".",".","7.7"
"Complex Analysis","623","001","","22","3.409","77.3",".","4.5",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","632","001","","30","3.328","50.0","3.3","26.7","6.7","6.7",".","3.3","3.3",".",".",".",".",".",".",".","."
"","632","003","","34","3.235","38.2","5.9","41.2","5.9","5.9",".","2.9",".",".",".",".",".",".",".",".","."
"","632","004","","16","3.406","31.3","31.3","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","","80","3.304","41.3","10.0","32.5","7.5","5.0",".","2.5","1.3",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","175","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","187","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","151","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","172","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","174","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","184","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","188","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Applied Math 1","703","001","","25","3.040","40.0","12.0","24.0","4.0",".","20.0",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","10","3.200","60.0",".","20.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"First Crse in Real Analysis","721","001","","45","3.727","64.4","22.2","8.9",".",".","2.2",".",".",".",".",".",".","2.2",".",".","."
"Nonlinear Optimization I","726","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Probability I","733","001","","36","3.471","38.9","13.9","44.4",".",".",".",".",".",".",".",".",".",".","2.8",".","."
"Stochastic Analysis","735","001","","35","3.900","85.7","8.6","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enum Combinatrcs/Symmet Functn","740","001","","24","3.795","58.3","29.2","4.2",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Abstract Algebra","741","001","","29","3.552","41.4","31.0","24.1","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Algebraic Number Theory","748","001","","27","3.960","85.2","7.4",".",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"Introductory Topology I","751","001","","20","3.600","60.0","15.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","763","001","","16","3.467","50.0","12.5","18.8",".","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"Differential Geometry","765","001","","15","3.923","80.0",".","6.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Foundations of Mathematics","770","001","","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Applied Math","801","001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Design I","803","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Partial Differential Equatn","819","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Real Analysis","821","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Complex Analysis","823","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourier Analysis","827","001","","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Topics in Probability","833","001","","29","3.966","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","","Page 283 of 450",""
