"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"S&A PHM","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","8","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","16","3.813","68.8","25.0","6.3","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","42","3.908","64.3","2.4","2.4","",".",".","",".","",".","31.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","102","3.774","64.7","27.5","6.9","",".","1.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","6","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","9","4.000","88.9",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","11.1","."
"Prof Yr 4","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","118","3.791","68.6","23.7","5.9","",".","0.8","",".","",".",".","",".",".","",".","",".","",".",".","0.8","."
