"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"Research","Course Total","128","",".",".",".",".",".",".",".","60.2","",".",".","",".","39.8",".",".",".","."
"754
PHYSICS","Dept. Total","3187","3.171","27.7","21.2","22.1","13.5","7.6","1.3","0.8","3.5","",".",".","",".","1.7","0.1","0.0","0.6","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","93","3.443","41.9","34.4","10.8","6.5","4.3","1.1","1.1",".","",".",".","",".",".",".",".",".","."
"Sophomore","","523","3.111","31.4","18.9","19.5","16.1","10.5","2.7","0.8","0.2","",".",".","",".",".",".",".",".","."
"Junior","","1092","3.143","24.8","23.0","25.6","15.1","8.9","1.0","0.9","0.1","",".",".","",".",".","0.2",".","0.3","0.1"
"Senior","","1026","3.144","26.6","21.7","23.3","16.6","8.3","1.5","0.9",".","",".",".","",".","0.2",".","0.1","0.9","."
"Undergraduates","","2734","3.146","27.3","22.1","23.1","15.5","8.8","1.5","0.9","0.1","",".",".","",".","0.1","0.1","0.0","0.4","0.0"
"Special","","17","3.035","11.8","11.8","17.6","17.6","5.9",".",".","11.8","",".",".","",".",".",".",".","23.5","."
"Graduate","","436","3.574","30.5","15.6","16.3","0.7","0.2",".",".","24.5","",".",".","",".","11.7",".",".","0.5","."
"","Dept. Total","3187","3.171","27.7","21.2","22.1","13.5","7.6","1.3","0.8","3.5","",".",".","",".","1.7","0.1","0.0","0.6","0.0"
