"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","11","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","9","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","22","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","22","",".",".",".",".",".",".",".","90.9","",".",".","",".","","9.1","",".",".",".","."
"Prof Yr 1","380","3.371","43.9","18.2","25.8","6.8","3.9","0.8","0.5",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","2","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","28","4.000","7.1",".",".",".",".",".",".","92.9","",".",".","",".","",".","",".",".",".","."
"Professionals","411","3.373","41.4","16.8","23.8","6.3","3.6","0.7","0.5","6.8","",".",".","",".","",".","",".",".",".","."
