"BIOSTATISTICS & MED INFORM Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","",""
"Intro to SAS Prog for Pop Hlth
451","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostatistics
541","001","","36","3.771","77.8","11.1","5.6",".",".",".","2.8",".",".",".",".",".","2.8",".",".","."
"Intro to Clinical Trials II
544","001","","24","3.583","50.0","25.0","20.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostats for Pop Hlth
551","001","","10","3.600","60.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Bioinformatics
576","001","","25","3.370","52.0","20.0",".","8.0","4.0","4.0","4.0","8.0",".",".",".",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy
642","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Regression Mthds-Pop Hlth
651","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"826","001","","10","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"826","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"826","023","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biostats & Biomed Informatics","Course Total","","28","3.764","67.9","21.4","7.1",".",".",".",".",".",".",".",".",".",".","3.6",".","."
"Biomed DataSci Scholarly Lit 1
881","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomed Data Sci Prof Skills 1
883","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-dissertator Research","Course Total","","21","4.000","90.5",".",".",".",".",".",".",".",".",".",".",".",".",".","9.5","."
"Computn&Informatcs in Biol&Med
915","001","","8","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"Hlth Informatics-Med Students
918","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dissertator Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
