"L&S","","","","","","","","","","","","","","","","","","","","","",""
"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","",""
"Legacy of Greece & Rome","100
001","23","3.725","60.9","8.7","13.0","4.3",".",".",".","4.3",".","",".",".","",".","",".","8.7",".","."
"The Ancient Mediterranean","110
001","44","3.337","18.2","40.9","27.3","11.4",".",".",".",".",".","",".",".","",".","","2.3",".",".","."
"Ancient Monsters","150
001","111","3.612","39.6","37.8","12.6","1.8","0.9",".",".",".",".","",".",".","",".","",".","3.6","3.6","."
"Intro to Biblical Lit","227
001","49","3.604","55.1","22.4","10.2","6.1","4.1",".",".",".",".","",".",".","",".","",".",".","2.0","."
"Art&Archaeology-Ancient Greece","300
001","26","3.288","46.2","15.4","26.9","3.8",".",".","7.7",".",".","",".",".","",".","",".",".",".","."
"The Greeks","320
001","162","3.574","64.8","13.0","4.3","5.6","4.9","0.6","2.5","4.3",".","",".",".","",".","",".",".",".","."
"Conspiracy in Anc and Mod Wrld","340
001","96","3.495","55.2","20.8","9.4","4.2","3.1",".","4.2","3.1",".","",".",".","",".","",".",".",".","."
"","373
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","373
002","8","3.000","50.0",".","12.5","25.0",".",".","12.5",".",".","",".",".","",".","",".",".",".","."
"Topics in Classical Culture","Course Total","28","3.696","82.1","3.6","3.6","7.1",".",".","3.6",".","",".",".","",".","",".",".",".",".","."
"Senior Thesis","692
050","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Reading","699
090","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Roman Political Thought","834
001","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"244
CLASSICS","Dept. Total","544","3.548","53.5","21.9","10.7","5.0","2.6","0.2","2.0","2.0","",".",".","",".","",".","0.2","1.1","0.9","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","75","3.429","44.0","22.7","22.7","6.7",".",".","2.7",".","",".",".","",".","",".","1.3",".",".","."
"Sophomore","","157","3.634","61.1","22.9","7.0","5.1","2.5",".","1.3",".","",".",".","",".","",".",".",".",".","."
"Junior","","147","3.582","59.2","18.4","12.2","4.8","4.1","0.7","0.7",".","",".",".","",".","",".",".",".",".","."
"Senior","","138","3.465","50.7","28.3","8.7","5.1","2.9",".","4.3",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","517","3.544","55.3","23.0","11.2","5.2","2.7","0.2","2.1",".","",".",".","",".","",".","0.2",".",".","."
"Special","","24","4.000","12.5",".",".",".",".",".",".","45.8","",".",".","",".","",".",".","25.0","16.7","."
"Graduate","","3","***","","","","","","","","","","",".","",".","",".",".",".","33.3","."
"","Dept. Total","544","3.548","53.5","21.9","10.7","5.0","2.6","0.2","2.0","2.0","",".",".","",".","",".","0.2","1.1","0.9","."
