"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","193","3.354","38.3","29.0","17.6","7.3","3.1","1.6","2.6","0.5",".","",".",".","",".","",".",".",".","."
"Literatures of Native America","172
001","23","3.152","52.2","13.0",".","17.4","4.3","8.7","4.3",".",".","",".",".","",".","",".",".",".","."
"First Semester Ojibwe","301
001","41","3.549","46.3","34.1","14.6","2.4",".",".","2.4",".",".","",".",".","",".","",".",".",".","."
"IndigenousPeoples&Environment","306
001","78","3.313","33.3","23.1","17.9","9.0","6.4","2.6",".","6.4",".","",".",".","",".","","1.3",".",".","."
"Indians of North America","314
001","42","3.128","28.6","11.9","31.0","7.1","9.5","4.8",".",".",".","",".",".","",".","",".",".","7.1","."
"Native North Amer Nat Res Mgmt","345
001","11","3.556","27.3","36.4","18.2",".",".",".",".","9.1",".","",".",".","",".","",".","9.1",".","."
"Archaeology of Wisconsin","354
001","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"American Indian Women","437
001","15","3.833","80.0","13.3",".","6.7",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","450
008","11","4.000","81.8",".",".",".",".",".",".","18.2",".","",".",".","",".","",".",".",".","."
"","450
011","12","3.682","58.3","16.7","8.3","8.3",".",".",".","8.3",".","",".",".","",".","",".",".",".","."
"","450
047","6","3.583","66.7","16.7",".",".","16.7",".",".",".",".","",".",".","",".","",".",".",".","."
"Issues in Amer Ind Studies","Course Total","29","3.769","69.0","10.3","3.4","3.4","3.4",".",".","10.3","",".",".","",".","",".",".",".",".","."
"Ethnobotany","474
001","20","3.861","70.0","15.0","5.0",".",".",".",".","10.0",".","",".",".","",".","",".",".",".","."
"Directed Study","699
004","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"140
AMER IND","Dept. Total","457","3.407","42.9","23.9","15.5","6.8","3.7","2.0","1.5","2.6","",".",".","",".","",".","0.2","0.2","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","137","3.248","27.0","34.3","20.4","8.0","6.6","2.2","1.5",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","126","3.516","50.0","24.6","13.5","5.6","2.4","0.8","1.6",".","",".",".","",".","",".","0.8","0.8",".","."
"Junior","","77","3.270","45.5","18.2","14.3","9.1","2.6","6.5","2.6","1.3","",".",".","",".","",".",".",".",".","."
"Senior","","96","3.573","57.3","17.7","15.6","5.2","3.1",".","1.0",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","436","3.401","43.6","25.0","16.3","6.9","3.9","2.1","1.6","0.2","",".",".","",".","",".","0.2","0.2",".","."
"Special","","13","2.500",".",".",".","7.7",".",".",".","69.2","",".",".","",".","",".",".",".","23.1","."
"Graduate","","8","4.000","75.0",".",".",".",".",".",".","25.0","",".",".","",".","",".",".",".",".","."
"","Dept. Total","457","3.407","42.9","23.9","15.5","6.8","3.7","2.0","1.5","2.6","",".",".","",".","",".","0.2","0.2","0.7","."
