"","999
089","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
120","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
125","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
183","2","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"DMA Recital","Course Total","25","4.000","68.0",".",".",".",".","",".","",".","",".","",".",".","",".","4.0","24.0",".",".","4.0"
"664
MUS PERF","Dept. Total","406","3.933","87.7","7.1","1.7","0.5","0.2","",".","",".","",".","",".",".","",".","0.2","2.2",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","34","3.877","79.4","11.8","5.9",".",".","",".","",".","",".","",".",".","",".",".","2.9",".",".","."
"Sophomore","","55","3.894","87.3","5.5","5.5","1.8",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Junior","","66","3.921","86.4","10.6",".",".","1.5","",".","",".","",".","",".",".","",".",".","1.5",".",".","."
"Senior","","147","3.958","92.5","5.4","0.7","0.7",".","",".","",".","",".","",".",".","",".",".","0.7",".",".","."
"Undergraduates","","302","3.929","88.7","7.3","2.0","0.7","0.3","",".","",".","",".","",".",".","",".",".","1.0",".",".","."
"Special","","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","103","3.941","84.5","6.8","1.0",".",".","",".","",".","",".","",".",".","",".","1.0","5.8",".",".","1.0"
"","Dept. Total","406","3.933","87.7","7.1","1.7","0.5","0.2","",".","",".","",".","",".",".","",".","0.2","2.2",".",".","0.2"
