"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","15","3.600","60.0","13.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","15","3.267","53.3","13.3","13.3",".","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","100
003","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","14","3.571","57.1","21.4","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
006","16","3.688","56.3","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","16","3.563","62.5","25.0","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","100
009","16","3.656","62.5","18.8","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
010","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","16","3.500","56.3","25.0","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","100
012","16","3.406","62.5","6.3","18.8",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","100
013","16","3.438","43.8","31.3","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","100
014","16","3.563","50.0","37.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","100
015","15","3.600","40.0","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
016","16","3.313","37.5","37.5","12.5",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","100
017","16","3.813","93.8",".",".",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","100
018","14","3.607","64.3","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Science and Storytelling","Course Total","280","3.618","62.5","21.1","8.6","2.5","2.1","1.8","1.4",".",".",".",".",".",".",".",".","."
"Sci Comm First-Year Seminar","155
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","17","3.647","70.6","5.9","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","212
002","19","3.474","63.2","15.8","5.3","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","36","3.556","66.7","11.1","8.3","5.6","5.6",".","2.8",".",".",".",".",".",".",".",".","."
"Science, Media and Society","251
001","181","3.230","32.0","27.1","17.1","11.6","5.5","3.3","1.7","1.1",".",".",".",".",".",".","0.6","."
"Marketing Comm for Sciences","270
001","74","3.797","82.4","6.8","5.4","1.4","2.7","1.4",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","14","2.679","28.6","14.3","7.1","7.1","21.4","21.4",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","22","3.636","50.0","36.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","54","3.741","72.2","20.4","1.9","1.9","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","14","3.857","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
001","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Media for Life Sciences","432
001","68","3.925","89.7","2.9","5.9",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"Photography for the Sciences","450
001","14","3.750","64.3","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Writing","560
001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Risk Communication","625
001","20","3.750","80.0","5.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","18","3.500","50.0","16.7","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intro-Communication Thry&Rsch","720
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","880
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","880
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","2","***","","","","","","","","","","","","","","","",""
