"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PATH","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","9","3.556","77.8",".","11.1","",".","",".","11.1","",".",".","",".",".","",".",".",".",".",".","."
"Junior","19","3.947","94.7",".","5.3","",".","",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","14","3.929","92.9",".","7.1","",".","",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","44","3.852","88.6","2.3","6.8","",".","",".","2.3","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","156","3.820","37.8","3.2","1.3","",".","",".",".","",".","26.3","",".","26.3","",".","3.2","0.6",".","1.3","."
"Prof Yr 1","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 2","10","",".",".",".","",".","",".",".","",".","20.0","",".","80.0","",".",".",".",".",".","."
"Prof Yr 3","3","***","","","","","","","","","","","","","","33.3","",".",".",".",".",".","."
"Prof Yr 4","75","4.000","1.3",".",".","",".","",".",".","",".","97.3","",".",".","",".","1.3",".",".",".","."
"Professionals","89","4.000","1.1",".",".","",".","",".",".","",".","87.6","",".","10.1","",".","1.1",".",".",".","."
