"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Econ Approach Current Issues","100
001","57","3.555","43.9","33.3","15.8",".","1.8",".","1.8",".",".",".",".",".",".","3.5",".","."
"","101
001","392","3.240","29.6","20.7","24.7","17.6","7.1",".",".",".",".",".",".",".","0.3",".",".","."
"","101
002","385","3.314","31.4","33.0","17.7","10.4","4.4","1.6","1.3","0.3",".",".",".",".",".",".",".","."
"","101
003","407","3.006","20.1","20.6","23.6","19.4","12.0","2.9","0.7",".",".",".",".",".","0.2","0.2",".","."
"","101
004","319","3.450","44.8","22.9","22.3","3.8","4.4","0.6","1.3",".",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1503","3.240","30.7","24.3","22.1","13.3","7.2","1.3","0.8","0.1",".",".",".",".","0.1","0.1",".","."
"","102
001","239","3.395","38.9","22.6","23.8","9.2","4.2","0.4","0.4",".",".",".",".",".",".",".","0.4","."
"","102
002","312","3.546","34.0","45.2","17.9","1.9","1.0",".",".",".",".",".",".",".",".",".",".","."
"","102
003","244","3.053","20.5","20.5","29.1","13.9","14.8",".","1.2",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","795","3.349","31.3","30.8","23.1","7.8","6.2","0.1","0.5",".",".",".",".",".",".",".","0.1","."
"Prin/Econ-Accelratd Treatmt","111
001","29","2.983","27.6","10.3","13.8","27.6","20.7",".",".",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","9","3.000","22.2","44.4",".","22.2",".",".","11.1",".",".",".",".",".",".",".",".","."
"","300
002","6","3.083","50.0",".",".","16.7","33.3",".",".",".",".",".",".",".",".",".",".","."
"","300
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","17","2.971","29.4","23.5","5.9","17.6","17.6",".","5.9",".",".",".",".",".",".",".",".","."
"","301
001","148","3.213","27.0","23.6","26.4","14.9","6.8","0.7","0.7",".",".",".",".",".",".",".",".","."
"","301
002","195","3.258","29.7","23.6","20.5","19.5","6.2",".",".",".",".",".",".",".","0.5",".",".","."
"Intmed Microeconomic Theory","Course Total","343","3.238","28.6","23.6","23.0","17.5","6.4","0.3","0.3",".",".",".",".",".","0.3",".",".","."
"","302
001","183","3.552","29.5","54.6","13.7","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"","302
002","126","3.423","37.3","31.7","16.7","5.6","6.3",".","0.8","0.8",".",".",".",".",".",".",".","0.8"
"Intmed Macroeconomic Theory","Course Total","309","3.500","32.7","45.3","14.9","2.9","3.2",".","0.3","0.3",".",".",".",".",".",".",".","0.3"
"Developmnt-Economic Thought","305
001","33","3.406","30.3","27.3","30.3","9.1",".",".",".",".",".",".",".",".","3.0",".",".","."
"The Real Estate Process","306
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001","138","3.496","55.8","16.7","13.0","5.8","7.2",".","1.4",".",".",".",".",".",".",".",".","."
"","310
002","132","3.235","28.0","21.2","31.8","9.8","6.1",".","1.5",".",".",".",".",".",".","0.8",".","0.8"
"Stats:Measrmnt in Economics","Course Total","270","3.369","42.2","18.9","22.2","7.8","6.7",".","1.5",".",".",".",".",".",".","0.4",".","0.4"
"Intmed Microecon-Adv Treatment","311
001","26","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","10","3.333","30.0","20.0","30.0",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"Money and Banking","330
001","94","3.720","67.0","19.1","4.3","3.2","1.1","2.1",".",".",".",".",".",".",".",".","2.1","1.1"
"Environmental Economics","343
001","43","3.274","32.6","23.3","23.3","7.0","9.3","2.3",".",".",".",".",".",".",".","2.3",".","."
"Economics Poverty Inequality","370
001","23","3.130","26.1","30.4","8.7","21.7","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"Energy, Resources & Economics","371
001","39","3.359","28.2","33.3","25.6","7.7","5.1",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","390
001","36","3.015","19.4","25.0","13.9","16.7","16.7","2.8",".",".",".",".",".",".",".","5.6",".","."
"Intro Applied Econometrics","400
001","89","3.045","23.6","19.1","21.3","21.3","12.4","1.1","1.1",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","134","3.037","23.9","19.4","20.1","19.4","14.2","3.0",".",".",".",".",".",".",".",".",".","."
"","420
001","7","3.167","28.6",".","28.6","28.6",".",".",".",".",".",".",".",".",".","14.3",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","Page 219 of 450",""
