"URBAN AND REGIONAL PLANNI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"Introduction to the City
305","001","","33","3.606","69.7","9.1","12.1","3.0","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"The Real Estate Process
306","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"420","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"420","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"420","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Gentrification & Urb Restruct
512","001","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Apps of GIS in Planning
532","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Design: Theory/Practice
611","001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Planning Analysis
721","001","","13","3.385","15.4","46.2","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Planning
741","001","","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Intro to Financial Planning
751","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Central City Planning-Issue
761","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Resrce Inst&Policies
865","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Planning Workshop
912","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","12","",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","6","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
