"NUTRITIONAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"","132","003","460","3.034","20.9","28.0","21.1","12.6","8.3","7.8","0.4",".",".",".",".",".",".","0.7",".","0.2"
"","132","004","19","3.342","31.6","26.3","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Nutrition Today","","Course Total","479","3.046","21.3","28.0","21.3","12.5","8.1","7.5","0.4",".",".",".",".",".",".","0.6",".","0.2"
"Prof-Dietetics & Nutrition","200","001","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Introduction to Global Health","203","001","465","3.946","93.3","3.4","1.5","0.4","0.4","0.2",".","0.2",".",".",".",".",".",".","0.4","."
"","299","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Human Nutritional Needs","332","001","104","3.567","58.7","23.1","9.6","3.8","1.0","1.0","2.9",".",".",".",".",".",".",".",".","."
"Special Topics","375","004","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cultural Aspects Food and Nutr","377","001","20","3.900","95.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","421","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421","002","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health Field Experience","","Course Total","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Capstone Seminar Lab","500","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr Biochm & Mtblsm","510","001","50","3.860","84.0","4.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Seminar in Nutrition","600","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Nutrition: Minerals","623","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition I","631","001","43","3.345","23.3","34.9","27.9","9.3","2.3",".",".",".",".",".",".",".","2.3",".",".","."
"App Clinical Nutrition I","641","001","40","3.962","90.0","7.5",".",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"Mol Ctrl of Mtblsm & Mtblc Dis","645","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Clin Nutr: Crit Care Nutr","650","001","29","3.810","72.4","17.2","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Clin Nutrition Pediatrics","651","001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition Research","653","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum I","670","001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Energy Metabolism","710","002","35","3.727","71.4","11.4","8.6",".",".",".","2.9",".",".",".",".",".","5.7",".",".","."
"Pers Nutr-Genomics & Genetics","711","001","31","3.855","93.5","3.2",".",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"Advanced Nutrition Assessment","720","001","32","3.828","90.6","3.1","3.1",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","799","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","875","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Nutr&Metabolism (Adv)","901","001","14","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"Seminar-Nutrition","931","001","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","991","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","","Page 34 of 450"
