"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","400
001","172","3.485","44.8","31.4","16.9","0.6","2.9","1.7","1.7",".",".",".",".",".",".",".",".","."
"","400
002","172","3.515","47.7","26.2","17.4","4.7","1.2","2.9",".",".",".",".",".",".",".",".",".","."
"","400
003","173","3.488","53.8","23.1","13.3","2.9","1.7","2.3","2.9",".",".",".",".",".",".",".",".","."
"","400
004","93","3.360","44.1","22.6","18.3","4.3","6.5","2.2","2.2",".",".",".",".",".",".",".",".","."
"","400
010","47","3.936","87.2","12.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Programming III","Course Total","657","3.508","50.8","25.3","15.1","2.7","2.4","2.1","1.5",".",".",".",".",".",".",".",".","."
"Introducing Comp Sci to K-12","402
001","15","3.633","73.3","6.7","6.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","58","2.853","20.7","20.7","24.1","12.1","12.1","3.4","6.9",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425
001","21","2.833","28.6","14.3","14.3","9.5","23.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","107","3.084","20.6","16.8","31.8","24.3","4.7","1.9",".",".",".",".",".",".",".",".",".","."
"Intro-Computational Statistics","471
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
001","19","2.921","36.8","5.3","21.1","21.1","5.3",".","10.5",".",".",".",".",".",".",".",".","."
"","475
002","18","2.861","27.8","16.7","16.7","11.1","16.7","5.6","5.6",".",".",".",".",".",".",".",".","."
"","475
003","14","2.731","21.4","7.1","14.3","14.3","28.6","7.1",".",".",".",".",".",".",".","7.1",".","."
"","475
005","6","2.917","50.0",".","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","57","2.857","31.6","8.8","17.5","15.8","14.0","3.5","7.0",".",".",".",".",".",".","1.8",".","."
"CS Education","502
001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Software Engineering","506
001","132","3.364","39.4","28.0","18.9","5.3","4.5","1.5","2.3",".",".",".",".",".",".",".",".","."
"","514
001","12","2.958","8.3","33.3","25.0","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"","514
002","15","3.036","13.3","26.7","20.0","20.0","13.3",".",".",".",".",".",".",".","6.7",".",".","."
"Numerical Analysis","Course Total","27","3.000","11.1","29.6","22.2","14.8","18.5",".",".",".",".",".",".",".","3.7",".",".","."
"Introduction to Optimization","524
001","43","3.256","44.2","14.0","14.0","14.0","9.3","4.7",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","35","2.986","34.3","5.7","25.7","8.6","17.1","8.6",".",".",".",".",".",".",".",".",".","."
"","532
001","82","3.562","51.2","23.2","13.4","7.3","3.7",".",".","1.2",".",".",".",".",".",".",".","."
"","532
002","16","3.733","62.5","12.5","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","532
004","13","3.731","69.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","Course Total","111","3.606","55.0","20.7","13.5","6.3","2.7",".",".","1.8",".",".",".",".",".",".",".","."
"Image Processing","533
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","81","2.994","23.5","23.5","21.0","9.9","14.8","6.2","1.2",".",".",".",".",".",".",".",".","."
"","537
001","258","3.088","36.4","15.1","10.5","14.7","17.8","3.9","0.8","0.4","0.4",".",".",".",".",".",".","."
"","537
010","51","3.676","58.8","21.6","15.7","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","309","3.186","40.1","16.2","11.3","12.9","14.9","3.2","0.6","0.3","0.3",".",".",".",".",".",".","."
"","539
001","19","3.632","52.6","31.6","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","539
002","31","3.411","25.8","35.5","25.8",".",".","3.2",".",".",".",".",".",".","9.7",".",".","."
"Intro-Artificl Neural Ntwrks","Course Total","50","3.500","36.0","34.0","20.0",".","2.0","2.0",".",".",".",".",".",".","6.0",".",".","."
"","540
001","221","3.382","41.6","26.2","17.2","7.7","4.1","0.9","2.3",".",".",".",".",".",".",".",".","."
"","540
002","172","3.532","48.8","25.6","11.6","8.7","3.5","0.6",".","1.2",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","Course Total","393","3.448","44.8","26.0","14.8","8.1","3.8","0.8","1.3","0.5",".",".",".",".",".",".",".","."
"","552
001","23","3.761","73.9","13.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","552
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Computer Architecture","Course Total","25","3.760","72.0","16.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Graphics","559
001","140","3.381","32.1","30.7","25.0","6.4","3.6","1.4",".",".",".",".",".",".","0.7",".",".","."
