"FOREST AND WILDLIFE ECOLO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Special Topics","Course Total","","23","3.943","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intr. to WI Ecol.: Grad Sem
953","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","7","",".",".",".",".",".",".",".","28.6",".",".",".","71.4",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","10","",".",".",".",".",".",".",".","10.0",".",".",".","90.0",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","14","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"990","054","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","73","",".",".",".",".",".",".",".","41.1",".",".",".","58.9",".",".",".","."
