"FOOD SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","","",""
"Independent Study","299","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Sci & Technol of Food","301","001","","27","2.963","11.1","29.6","33.3","14.8","3.7","3.7","3.7",".",".",".",".",".",".",".",".","."
"","324","003","","15","3.467","33.3","33.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","12","3.375","50.0","16.7","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","","Course Total","","27","3.426","40.7","25.9","22.2","7.4",".","3.7",".",".",".",".",".",".",".",".",".","."
"Food Microbiology","325","001","","36","3.167","19.4","16.7","47.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Food Chemistry","410","001","","34","2.813","11.8","8.8","38.2","8.8","23.5","2.9",".",".",".",".",".",".",".",".","5.9","."
"Food Service Operations","437","001","","44","3.573","36.4","38.6","13.6","4.5",".",".",".",".",".",".",".",".","4.5",".","2.3","."
"","438","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438","002","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","","Course Total","","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Food Engr","440","001","","27","3.056","14.8","22.2","33.3","18.5","11.1",".",".",".",".",".",".",".",".",".",".","."
"Integrated Food Manufacturing","532","001","","27","3.093","14.8","11.1","59.3","7.4","7.4",".",".",".",".",".",".",".",".",".",".","."
"Confectionery Science&Technlgy","535","001","","12","3.375","16.7","41.7","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Fermentation Laboratory","551","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Senior Project","602","001","","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar Advanced","900","001","","25","3.900","16.0","4.0",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"","990","009","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","028","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","27","",".",".",".",".",".",".",".","92.6",".",".",".","7.4",".",".",".","."
